time,measure
1713840573.616689,b'28\r\n'
1713840573.618071,b'\x1b[0m\r\n'
1713840573.6218922,"b'\x1b[0;32mI (564055) mpu6050 test: acce_x:0.36, acce_y:-0.17, acce_z:-0.95\r\n'"
1713840573.621977,b'\x1b[0m\r\n'
1713840573.627419,"b'\x1b[0;32mI (564065) mpu6050 test: gyro_x:0.66, gyro_y:-6.50, gyro_z:-3.80\r\n'"
1713840573.6274571,b'\x1b[0m\r\n'
1713840573.633225,"b'\x1b[0;32mI (564075) mpu6050 test: acce_x:0.35, acce_y:-0.17, acce_z:-0.94\r\n'"
1713840573.6332648,b'\x1b[0m\r\n'
1713840573.6387331,"b'\x1b[0;32mI (564075) mpu6050 test: gyro_x:1.36, gyro_y:-7.16, gyro_z:-4.35\r\n'"
1713840573.6439219,b'\x1b[0m\r\n'
1713840573.649664,"b'\x1b[0;32mI (564085) mpu6050 test: acce_x:0.36, acce_y:-0.16, acce_z:-0.93\r\n'"
1713840573.649712,b'\x1b[0m\r\n'
1713840573.655387,"b'\x1b[0;32mI (564095) mpu6050 test: gyro_x:1.86, gyro_y:-7.28, gyro_z:-4.32\r\n'"
1713840573.655432,b'\x1b[0m\r\n'
1713840573.660856,"b'\x1b[0;32mI (564095) mpu6050 test: acce_x:0.35, acce_y:-0.16, acce_z:-0.94\r\n'"
1713840573.660898,b'\x1b[0m\r\n'
1713840573.666671,"b'\x1b[0;32mI (564105) mpu6050 test: gyro_x:2.00, gyro_y:-7.11, gyro_z:-4.06\r\n'"
1713840573.671693,b'\x1b[0m\r\n'
1713840573.677278,"b'\x1b[0;32mI (564115) mpu6050 test: acce_x:0.34, acce_y:-0.17, acce_z:-0.93\r\n'"
1713840573.677342,b'\x1b[0m\r\n'
1713840573.683003,"b'\x1b[0;32mI (564115) mpu6050 test: gyro_x:2.78, gyro_y:-6.66, gyro_z:-3.94\r\n'"
1713840573.683052,b'\x1b[0m\r\n'
1713840573.688674,"b'\x1b[0;32mI (564125) mpu6050 test: acce_x:0.35, acce_y:-0.17, acce_z:-0.94\r\n'"
1713840573.688716,b'\x1b[0m\r\n'
