time,measure
1713841917.776798,"b'pu6050 test: acce_x:0.43, acce_y:-0.16, acce_z:-0.91\r\n'"
1713841917.7784052,b'\x1b[0m\r\n'
1713841917.786885,"b'\x1b[0;32mI (87185) mpu6050 test: gyro_x:-1.47, gyro_y:1.22, gyro_z:-1.02\r\n'"
1713841917.786922,b'\x1b[0m\r\n'
1713841917.792705,"b'\x1b[0;32mI (87195) mpu6050 test: acce_x:0.43, acce_y:-0.17, acce_z:-0.93\r\n'"
1713841917.792738,b'\x1b[0m\r\n'
1713841917.7981591,"b'\x1b[0;32mI (87195) mpu6050 test: gyro_x:-1.25, gyro_y:0.87, gyro_z:-0.47\r\n'"
1713841917.798193,b'\x1b[0m\r\n'
1713841917.803761,"b'\x1b[0;32mI (87205) mpu6050 test: acce_x:0.43, acce_y:-0.16, acce_z:-0.92\r\n'"
1713841917.803798,b'\x1b[0m\r\n'
1713841917.809545,"b'\x1b[0;32mI (87215) mpu6050 test: gyro_x:-0.95, gyro_y:0.81, gyro_z:0.18\r\n'"
1713841917.814723,b'\x1b[0m\r\n'
1713841917.820262,"b'\x1b[0;32mI (87215) mpu6050 test: acce_x:0.44, acce_y:-0.16, acce_z:-0.92\r\n'"
1713841917.820299,b'\x1b[0m\r\n'
1713841917.826062,"b'\x1b[0;32mI (87225) mpu6050 test: gyro_x:-0.79, gyro_y:0.58, gyro_z:0.52\r\n'"
1713841917.8261042,b'\x1b[0m\r\n'
1713841917.8315892,"b'\x1b[0;32mI (87235) mpu6050 test: acce_x:0.44, acce_y:-0.16, acce_z:-0.92\r\n'"
1713841917.831632,b'\x1b[0m\r\n'
1713841917.837059,"b'\x1b[0;32mI (87235) mpu6050 test: gyro_x:-0.66, gyro_y:-0.05, gyro_z:0.81\r\n'"
1713841917.8371031,b'\x1b[0m\r\n'
1713841917.8428931,"b'\x1b[0;32mI (87245) mpu6050 test: acce_x:0.44, acce_y:-0.17, acce_z:-0.91\r\n'"
1713841917.848068,b'\x1b[0m\r\n'
1713841917.8536232,"b'\x1b[0;32mI (87255) mpu6050 test: gyro_x:-0.70, gyro_y:-0.52, gyro_z:1.24\r\n'"
1713841917.853665,b'\x1b[0m\r\n'
1713841917.859432,"b'\x1b[0;32mI (87255) mpu6050 test: acce_x:0.45, acce_y:-0.17, acce_z:-0.92\r\n'"
1713841917.859474,b'\x1b[0m\r\n'
1713841917.8649569,"b'\x1b[0;32mI (87265) mpu6050 test: gyro_x:-1.15, gyro_y:-1.48, gyro_z:1.42\r\n'"
1713841917.865005,b'\x1b[0m\r\n'
1713841917.87042,"b'\x1b[0;32mI (87275) mpu6050 test: acce_x:0.44, acce_y:-0.18, acce_z:-0.92\r\n'"
1713841917.8704588,b'\x1b[0m\r\n'
1713841917.881394,"b'\x1b[0;32mI (87275) mpu6050 test: gyro_x:-1.28, gyro_y:-2.37, gyro_z:1.48\r\n'"
1713841917.8814359,b'\x1b[0m\r\n'
1713841917.8869581,"b'\x1b[0;32mI (87285) mpu6050 test: acce_x:0.44, acce_y:-0.17, acce_z:-0.91\r\n'"
1713841917.8869948,b'\x1b[0m\r\n'
1713841917.892708,"b'\x1b[0;32mI (87295) mpu6050 test: gyro_x:-1.47, gyro_y:-3.19, gyro_z:1.57\r\n'"
1713841917.89274,b'\x1b[0m\r\n'
1713841917.898169,"b'\x1b[0;32mI (87295) mpu6050 test: acce_x:0.44, acce_y:-0.17, acce_z:-0.92\r\n'"
1713841917.898197,b'\x1b[0m\r\n'
1713841917.90371,"b'\x1b[0;32mI (87305) mpu6050 test: gyro_x:-1.51, gyro_y:-3.76, gyro_z:1.27\r\n'"
1713841917.9091918,b'\x1b[0m\r\n'
1713841917.914687,"b'\x1b[0;32mI (87315) mpu6050 test: acce_x:0.43, acce_y:-0.18, acce_z:-0.92\r\n'"
1713841917.914711,b'\x1b[0m\r\n'
1713841917.9202628,"b'\x1b[0;32mI (87315) mpu6050 test: gyro_x:-1.36, gyro_y:-4.56, gyro_z:1.11\r\n'"
1713841917.920286,b'\x1b[0m\r\n'
1713841917.926006,"b'\x1b[0;32mI (87325) mpu6050 test: acce_x:0.43, acce_y:-0.17, acce_z:-0.92\r\n'"
1713841917.9260302,b'\x1b[0m\r\n'
1713841917.931496,"b'\x1b[0;32mI (87335) mpu6050 test: gyro_x:-1.15, gyro_y:-4.89, gyro_z:0.69\r\n'"
1713841917.931521,b'\x1b[0m\r\n'
1713841917.9424791,"b'\x1b[0;32mI (87335) mpu6050 test: acce_x:0.42, acce_y:-0.18, acce_z:-0.92\r\n'"
1713841917.942503,b'\x1b[0m\r\n'
1713841917.948043,"b'\x1b[0;32mI (87345) mpu6050 test: gyro_x:-1.18, gyro_y:-5.10, gyro_z:0.52\r\n'"
1713841917.9480672,b'\x1b[0m\r\n'
1713841917.95353,"b'\x1b[0;32mI (87355) mpu6050 test: acce_x:0.41, acce_y:-0.17, acce_z:-0.92\r\n'"
1713841917.953554,b'\x1b[0m\r\n'
1713841917.959332,"b'\x1b[0;32mI (87355) mpu6050 test: gyro_x:-1.37, gyro_y:-5.10, gyro_z:0.31\r\n'"
1713841917.9593558,b'\x1b[0m\r\n'
1713841917.964873,"b'\x1b[0;32mI (87365) mpu6050 test: acce_x:0.41, acce_y:-0.17, acce_z:-0.92\r\n'"
1713841917.970142,b'\x1b[0m\r\n'
1713841917.975913,"b'\x1b[0;32mI (87375) mpu6050 test: gyro_x:-1.34, gyro_y:-4.67, gyro_z:0.09\r\n'"
1713841917.975936,b'\x1b[0m\r\n'
1713841917.981389,"b'\x1b[0;32mI (87375) mpu6050 test: acce_x:0.41, acce_y:-0.17, acce_z:-0.92\r\n'"
1713841917.981416,b'\x1b[0m\r\n'
1713841917.986909,"b'\x1b[0;32mI (87385) mpu6050 test: gyro_x:-1.56, gyro_y:-4.60, gyro_z:0.06\r\n'"
1713841917.986932,b'\x1b[0m\r\n'
1713841917.9927192,"b'\x1b[0;32mI (87395) mpu6050 test: acce_x:0.41, acce_y:-0.17, acce_z:-0.92\r\n'"
1713841917.992741,b'\x1b[0m\r\n'
1713841918.003427,"b'\x1b[0;32mI (87405) mpu6050 test: gyro_x:-1.68, gyro_y:-4.26, gyro_z:0.14\r\n'"
1713841918.0034518,b'\x1b[0m\r\n'
1713841918.009224,"b'\x1b[0;32mI (87405) mpu6050 test: acce_x:0.40, acce_y:-0.18, acce_z:-0.92\r\n'"
1713841918.009248,b'\x1b[0m\r\n'
1713841918.016795,"b'\x1b[0;32mI (87415) mpu6050 test: gyro_x:-1.98, gyro_y:-3.89, gyro_z:0.09\r\n'"
1713841918.016833,b'\x1b[0m\r\n'
1713841918.022631,"b'\x1b[0;32mI (87425) mpu6050 test: acce_x:0.40, acce_y:-0.17, acce_z:-0.91\r\n'"
1713841918.022655,b'\x1b[0m\r\n'
1713841918.026722,"b'\x1b[0;32mI (87425) mpu6050 test: gyro_x:-1.95, gyro_y:-3.36, gyro_z:0.27\r\n'"
1713841918.026749,b'\x1b[0m\r\n'
1713841918.036829,"b'\x1b[0;32mI (87435) mpu6050 test: acce_x:0.40, acce_y:-0.17, acce_z:-0.92\r\n'"
1713841918.036852,b'\x1b[0m\r\n'
1713841918.042646,"b'\x1b[0;32mI (87445) mpu6050 test: gyro_x:-1.82, gyro_y:-3.62, gyro_z:0.41\r\n'"
1713841918.04267,b'\x1b[0m\r\n'
1713841918.048154,"b'\x1b[0;32mI (87445) mpu6050 test: acce_x:0.40, acce_y:-0.17, acce_z:-0.93\r\n'"
1713841918.0481842,b'\x1b[0m\r\n'
1713841918.053646,"b'\x1b[0;32mI (87455) mpu6050 test: gyro_x:-1.73, gyro_y:-3.51, gyro_z:0.47\r\n'"
