time,measure
1713842098.3643148,"b'yro_y:1.50, gyro_z:0.69\r\n'"
1713842098.365906,b'\x1b[0m\r\n'
1713842098.369248,"b'\x1b[0;32mI (267765) mpu6050 test: acce_x:0.20, acce_y:-0.20, acce_z:-0.98\r\n'"
1713842098.369302,b'\x1b[0m\r\n'
1713842098.3748648,"b'\x1b[0;32mI (267775) mpu6050 test: gyro_x:-6.11, gyro_y:1.33, gyro_z:0.56\r\n'"
1713842098.374896,b'\x1b[0m\r\n'
1713842098.3857868,"b'\x1b[0;32mI (267785) mpu6050 test: acce_x:0.20, acce_y:-0.20, acce_z:-0.98\r\n'"
1713842098.385818,b'\x1b[0m\r\n'
1713842098.391267,"b'\x1b[0;32mI (267795) mpu6050 test: gyro_x:-5.57, gyro_y:1.13, gyro_z:0.58\r\n'"
1713842098.3913002,b'\x1b[0m\r\n'
1713842098.3970492,"b'\x1b[0;32mI (267795) mpu6050 test: acce_x:0.19, acce_y:-0.20, acce_z:-0.99\r\n'"
1713842098.397088,b'\x1b[0m\r\n'
1713842098.402658,"b'\x1b[0;32mI (267805) mpu6050 test: gyro_x:-5.13, gyro_y:1.77, gyro_z:0.27\r\n'"
1713842098.402699,b'\x1b[0m\r\n'
1713842098.408352,"b'\x1b[0;32mI (267815) mpu6050 test: acce_x:0.19, acce_y:-0.20, acce_z:-0.99\r\n'"
1713842098.413672,b'\x1b[0m\r\n'
1713842098.419117,"b'\x1b[0;32mI (267815) mpu6050 test: gyro_x:-4.89, gyro_y:2.34, gyro_z:0.12\r\n'"
1713842098.419161,b'\x1b[0m\r\n'
1713842098.424784,"b'\x1b[0;32mI (267825) mpu6050 test: acce_x:0.19, acce_y:-0.20, acce_z:-0.97\r\n'"
1713842098.4248252,b'\x1b[0m\r\n'
1713842098.430442,"b'\x1b[0;32mI (267835) mpu6050 test: gyro_x:-4.46, gyro_y:2.84, gyro_z:-0.05\r\n'"
1713842098.430484,b'\x1b[0m\r\n'
1713842098.435898,"b'\x1b[0;32mI (267835) mpu6050 test: acce_x:0.19, acce_y:-0.19, acce_z:-0.98\r\n'"
1713842098.435932,b'\x1b[0m\r\n'
1713842098.4469419,"b'\x1b[0;32mI (267845) mpu6050 test: gyro_x:-4.46, gyro_y:2.78, gyro_z:-0.09\r\n'"
1713842098.446975,b'\x1b[0m\r\n'
1713842098.452482,"b'\x1b[0;32mI (267855) mpu6050 test: acce_x:0.20, acce_y:-0.20, acce_z:-0.98\r\n'"
1713842098.452518,b'\x1b[0m\r\n'
1713842098.457974,"b'\x1b[0;32mI (267855) mpu6050 test: gyro_x:-4.38, gyro_y:2.58, gyro_z:0.05\r\n'"
1713842098.458007,b'\x1b[0m\r\n'
1713842098.463729,"b'\x1b[0;32mI (267865) mpu6050 test: acce_x:0.20, acce_y:-0.20, acce_z:-0.98\r\n'"
1713842098.463756,b'\x1b[0m\r\n'
1713842098.474519,"b'\x1b[0;32mI (267875) mpu6050 test: gyro_x:-4.27, gyro_y:2.00, gyro_z:-0.24\r\n'"
1713842098.474546,b'\x1b[0m\r\n'
1713842098.48029,"b'\x1b[0;32mI (267875) mpu6050 test: acce_x:0.20, acce_y:-0.20, acce_z:-0.98\r\n'"
1713842098.480314,b'\x1b[0m\r\n'
1713842098.4858,"b'\x1b[0;32mI (267885) mpu6050 test: gyro_x:-4.29, gyro_y:1.86, gyro_z:-0.53\r\n'"
1713842098.485824,b'\x1b[0m\r\n'
1713842098.491272,"b'\x1b[0;32mI (267895) mpu6050 test: acce_x:0.20, acce_y:-0.20, acce_z:-0.98\r\n'"
1713842098.491296,b'\x1b[0m\r\n'
1713842098.4970748,"b'\x1b[0;32mI (267895) mpu6050 test: gyro_x:-4.29, gyro_y:2.09, gyro_z:-0.75\r\n'"
1713842098.5023758,b'\x1b[0m\r\n'
1713842098.5078201,"b'\x1b[0;32mI (267905) mpu6050 test: acce_x:0.21, acce_y:-0.19, acce_z:-0.99\r\n'"
1713842098.5078442,b'\x1b[0m\r\n'
1713842098.513664,"b'\x1b[0;32mI (267915) mpu6050 test: gyro_x:-4.00, gyro_y:2.52, gyro_z:-1.25\r\n'"
1713842098.513688,b'\x1b[0m\r\n'
1713842098.519176,"b'\x1b[0;32mI (267925) mpu6050 test: acce_x:0.20, acce_y:-0.20, acce_z:-0.98\r\n'"
1713842098.5192,b'\x1b[0m\r\n'
1713842098.524638,"b'\x1b[0;32mI (267925) mpu6050 test: gyro_x:-3.57, gyro_y:2.55, gyro_z:-1.59\r\n'"
1713842098.5301938,b'\x1b[0m\r\n'
1713842098.535681,"b'\x1b[0;32mI (267935) mpu6050 test: acce_x:0.21, acce_y:-0.19, acce_z:-0.97\r\n'"
1713842098.5357041,b'\x1b[0m\r\n'
1713842098.54126,"b'\x1b[0;32mI (267945) mpu6050 test: gyro_x:-3.21, gyro_y:1.92, gyro_z:-2.08\r\n'"
1713842098.541284,b'\x1b[0m\r\n'
1713842098.546981,"b'\x1b[0;32mI (267945) mpu6050 test: acce_x:0.21, acce_y:-0.19, acce_z:-0.97\r\n'"
1713842098.547004,b'\x1b[0m\r\n'
