time,measure
1713841372.2926762,"b':-0.13, acce_z:-0.80\r\n'"
1713841372.2940538,b'\x1b[0m\r\n'
1713841372.297587,"b'\x1b[0;32mI (1362735) mpu6050 test: gyro_x:-3.19, gyro_y:-13.98, gyro_z:7.51\r\n'"
1713841372.2976482,b'\x1b[0m\r\n'
1713841372.3030741,"b'\x1b[0;32mI (1362745) mpu6050 test: acce_x:0.67, acce_y:-0.13, acce_z:-0.80\r\n'"
1713841372.303108,b'\x1b[0m\r\n'
1713841372.3140721,"b'\x1b[0;32mI (1362755) mpu6050 test: gyro_x:-2.95, gyro_y:-14.99, gyro_z:8.50\r\n'"
1713841372.3141088,b'\x1b[0m\r\n'
1713841372.319582,"b'\x1b[0;32mI (1362755) mpu6050 test: acce_x:0.66, acce_y:-0.13, acce_z:-0.80\r\n'"
1713841372.3196201,b'\x1b[0m\r\n'
1713841372.325383,"b'\x1b[0;32mI (1362765) mpu6050 test: gyro_x:-2.53, gyro_y:-15.53, gyro_z:8.99\r\n'"
1713841372.32543,b'\x1b[0m\r\n'
1713841372.330934,"b'\x1b[0;32mI (1362775) mpu6050 test: acce_x:0.65, acce_y:-0.13, acce_z:-0.80\r\n'"
1713841372.331003,b'\x1b[0m\r\n'
1713841372.341936,"b'\x1b[0;32mI (1362775) mpu6050 test: gyro_x:-2.70, gyro_y:-16.17, gyro_z:9.63\r\n'"
1713841372.341984,b'\x1b[0m\r\n'
1713841372.347559,"b'\x1b[0;32mI (1362785) mpu6050 test: acce_x:0.65, acce_y:-0.14, acce_z:-0.81\r\n'"
1713841372.347612,b'\x1b[0m\r\n'
1713841372.35309,"b'\x1b[0;32mI (1362795) mpu6050 test: gyro_x:-2.73, gyro_y:-16.99, gyro_z:10.20\r\n'"
1713841372.353135,b'\x1b[0m\r\n'
1713841372.358935,"b'\x1b[0;32mI (1362805) mpu6050 test: acce_x:0.63, acce_y:-0.13, acce_z:-0.81\r\n'"
1713841372.364156,b'\x1b[0m\r\n'
1713841372.3695009,"b'\x1b[0;32mI (1362805) mpu6050 test: gyro_x:-2.29, gyro_y:-17.65, gyro_z:10.58\r\n'"
1713841372.369546,b'\x1b[0m\r\n'
1713841372.375351,"b'\x1b[0;32mI (1362815) mpu6050 test: acce_x:0.63, acce_y:-0.14, acce_z:-0.80\r\n'"
1713841372.375396,b'\x1b[0m\r\n'
