time,measure
1713840690.0156028,"b'_x:1.33, gyro_y:-4.70, gyro_z:-3.88\r\n'"
1713840690.0167959,b'\x1b[0m\r\n'
1713840690.020687,"b'\x1b[0;32mI (680455) mpu6050 test: acce_x:0.55, acce_y:-0.16, acce_z:-0.84\r\n'"
1713840690.020739,b'\x1b[0m\r\n'
1713840690.0316339,"b'\x1b[0;32mI (680465) mpu6050 test: gyro_x:1.59, gyro_y:-2.96, gyro_z:-2.81\r\n'"
1713840690.031672,b'\x1b[0m\r\n'
1713840690.037169,"b'\x1b[0;32mI (680475) mpu6050 test: acce_x:0.55, acce_y:-0.16, acce_z:-0.84\r\n'"
1713840690.037251,b'\x1b[0m\r\n'
1713840690.042708,"b'\x1b[0;32mI (680475) mpu6050 test: gyro_x:1.98, gyro_y:-1.30, gyro_z:-2.26\r\n'"
1713840690.04275,b'\x1b[0m\r\n'
1713840690.048654,"b'\x1b[0;32mI (680485) mpu6050 test: acce_x:0.56, acce_y:-0.16, acce_z:-0.84\r\n'"
1713840690.048697,b'\x1b[0m\r\n'
1713840690.054116,"b'\x1b[0;32mI (680495) mpu6050 test: gyro_x:2.06, gyro_y:-0.12, gyro_z:-1.40\r\n'"
1713840690.0592,b'\x1b[0m\r\n'
1713840690.065124,"b'\x1b[0;32mI (680505) mpu6050 test: acce_x:0.56, acce_y:-0.17, acce_z:-0.84\r\n'"
1713840690.065161,b'\x1b[0m\r\n'
1713840690.070666,"b'\x1b[0;32mI (680505) mpu6050 test: gyro_x:1.51, gyro_y:0.89, gyro_z:-0.41\r\n'"
1713840690.070708,b'\x1b[0m\r\n'
1713840690.076103,"b'\x1b[0;32mI (680515) mpu6050 test: acce_x:0.57, acce_y:-0.17, acce_z:-0.84\r\n'"
1713840690.0761468,b'\x1b[0m\r\n'
1713840690.081964,"b'\x1b[0;32mI (680525) mpu6050 test: gyro_x:0.66, gyro_y:1.39, gyro_z:0.75\r\n'"
1713840690.0820081,b'\x1b[0m\r\n'
1713840690.092569,"b'\x1b[0;32mI (680525) mpu6050 test: acce_x:0.57, acce_y:-0.17, acce_z:-0.83\r\n'"
1713840690.092606,b'\x1b[0m\r\n'
1713840690.098409,"b'\x1b[0;32mI (680535) mpu6050 test: gyro_x:0.47, gyro_y:1.36, gyro_z:1.77\r\n'"
1713840690.098451,b'\x1b[0m\r\n'
1713840690.1039171,"b'\x1b[0;32mI (680545) mpu6050 test: acce_x:0.58, acce_y:-0.17, acce_z:-0.83\r\n'"
1713840690.103959,b'\x1b[0m\r\n'
1713840690.109451,"b'\x1b[0;32mI (680545) mpu6050 test: gyro_x:0.11, gyro_y:1.08, gyro_z:2.24\r\n'"
1713840690.109488,b'\x1b[0m\r\n'
1713840690.115217,"b'\x1b[0;32mI (680555) mpu6050 test: acce_x:0.57, acce_y:-0.17, acce_z:-0.83\r\n'"
1713840690.120457,b'\x1b[0m\r\n'
1713840690.1259232,"b'\x1b[0;32mI (680565) mpu6050 test: gyro_x:-0.14, gyro_y:0.58, gyro_z:2.60\r\n'"
1713840690.125953,b'\x1b[0m\r\n'
1713840690.13169,"b'\x1b[0;32mI (680565) mpu6050 test: acce_x:0.58, acce_y:-0.17, acce_z:-0.83\r\n'"
1713840690.1317172,b'\x1b[0m\r\n'
1713840690.137165,"b'\x1b[0;32mI (680575) mpu6050 test: gyro_x:-0.76, gyro_y:0.14, gyro_z:2.85\r\n'"
1713840690.1371908,b'\x1b[0m\r\n'
1713840690.142685,"b'\x1b[0;32mI (680585) mpu6050 test: acce_x:0.58, acce_y:-0.17, acce_z:-0.84\r\n'"
1713840690.14271,b'\x1b[0m\r\n'
1713840690.153762,"b'\x1b[0;32mI (680585) mpu6050 test: gyro_x:-1.11, gyro_y:-0.12, gyro_z:2.84\r\n'"
1713840690.153793,b'\x1b[0m\r\n'
1713840690.159214,"b'\x1b[0;32mI (680595) mpu6050 test: acce_x:0.58, acce_y:-0.17, acce_z:-0.83\r\n'"
