time,measure
1713842017.226777,"b't: gyro_x:-1.16, gyro_y:-0.11, gyro_z:-0.26\r\n'"
1713842017.22812,b'\x1b[0m\r\n'
1713842017.2318468,"b'\x1b[0;32mI (186635) mpu6050 test: acce_x:0.57, acce_y:-0.16, acce_z:-0.84\r\n'"
1713842017.237155,b'\x1b[0m\r\n'
1713842017.242879,"b'\x1b[0;32mI (186645) mpu6050 test: gyro_x:-1.50, gyro_y:0.32, gyro_z:-0.23\r\n'"
1713842017.24291,b'\x1b[0m\r\n'
1713842017.248439,"b'\x1b[0;32mI (186645) mpu6050 test: acce_x:0.58, acce_y:-0.16, acce_z:-0.83\r\n'"
1713842017.2484648,b'\x1b[0m\r\n'
1713842017.253979,"b'\x1b[0;32mI (186655) mpu6050 test: gyro_x:-1.44, gyro_y:0.31, gyro_z:-0.40\r\n'"
1713842017.2540128,b'\x1b[0m\r\n'
1713842017.2597241,"b'\x1b[0;32mI (186665) mpu6050 test: acce_x:0.58, acce_y:-0.16, acce_z:-0.84\r\n'"
1713842017.2597601,b'\x1b[0m\r\n'
1713842017.270464,"b'\x1b[0;32mI (186665) mpu6050 test: gyro_x:-1.57, gyro_y:0.14, gyro_z:-0.18\r\n'"
1713842017.270489,b'\x1b[0m\r\n'
1713842017.276234,"b'\x1b[0;32mI (186675) mpu6050 test: acce_x:0.57, acce_y:-0.16, acce_z:-0.83\r\n'"
1713842017.276258,b'\x1b[0m\r\n'
1713842017.2817621,"b'\x1b[0;32mI (186685) mpu6050 test: gyro_x:-1.69, gyro_y:0.00, gyro_z:-0.24\r\n'"
1713842017.2817879,b'\x1b[0m\r\n'
1713842017.287288,"b'\x1b[0;32mI (186685) mpu6050 test: acce_x:0.58, acce_y:-0.16, acce_z:-0.83\r\n'"
1713842017.287313,b'\x1b[0m\r\n'
1713842017.298312,"b'\x1b[0;32mI (186695) mpu6050 test: gyro_x:-1.82, gyro_y:0.03, gyro_z:-0.38\r\n'"
1713842017.298346,b'\x1b[0m\r\n'
