time,measure
1713841600.057288,b':1.48\r\n'
1713841600.058589,b'\x1b[0m\r\n'
1713841600.062291,"b'\x1b[0;32mI (1590505) mpu6050 test: acce_x:0.55, acce_y:-0.17, acce_z:-0.86\r\n'"
1713841600.062319,b'\x1b[0m\r\n'
1713841600.067807,"b'\x1b[0;32mI (1590505) mpu6050 test: gyro_x:-2.58, gyro_y:-1.22, gyro_z:1.05\r\n'"
1713841600.067837,b'\x1b[0m\r\n'
1713841600.0736718,"b'\x1b[0;32mI (1590515) mpu6050 test: acce_x:0.54, acce_y:-0.18, acce_z:-0.86\r\n'"
1713841600.073743,b'\x1b[0m\r\n'
1713841600.084361,"b'\x1b[0;32mI (1590525) mpu6050 test: gyro_x:-2.79, gyro_y:-1.25, gyro_z:0.70\r\n'"
1713841600.0843909,b'\x1b[0m\r\n'
1713841600.090134,"b'\x1b[0;32mI (1590525) mpu6050 test: acce_x:0.54, acce_y:-0.17, acce_z:-0.85\r\n'"
1713841600.090164,b'\x1b[0m\r\n'
1713841600.095721,"b'\x1b[0;32mI (1590535) mpu6050 test: gyro_x:-2.89, gyro_y:-1.60, gyro_z:0.72\r\n'"
1713841600.095756,b'\x1b[0m\r\n'
1713841600.10153,"b'\x1b[0;32mI (1590545) mpu6050 test: acce_x:0.54, acce_y:-0.16, acce_z:-0.85\r\n'"
1713841600.101565,b'\x1b[0m\r\n'
1713841600.112295,"b'\x1b[0;32mI (1590555) mpu6050 test: gyro_x:-2.20, gyro_y:-1.59, gyro_z:0.15\r\n'"
1713841600.11233,b'\x1b[0m\r\n'
1713841600.117776,"b'\x1b[0;32mI (1590555) mpu6050 test: acce_x:0.55, acce_y:-0.17, acce_z:-0.86\r\n'"
1713841600.117813,b'\x1b[0m\r\n'
1713841600.123612,"b'\x1b[0;32mI (1590565) mpu6050 test: gyro_x:-2.08, gyro_y:-2.02, gyro_z:0.09\r\n'"
1713841600.1236548,b'\x1b[0m\r\n'
1713841600.129227,"b'\x1b[0;32mI (1590575) mpu6050 test: acce_x:0.55, acce_y:-0.17, acce_z:-0.86\r\n'"
1713841600.129264,b'\x1b[0m\r\n'
1713841600.1401331,"b'\x1b[0;32mI (1590575) mpu6050 test: gyro_x:-2.05, gyro_y:-2.05, gyro_z:0.46\r\n'"
1713841600.140175,b'\x1b[0m\r\n'
