time,measure
1713840286.6747131,"b', acce_z:-0.92\r\n'"
1713840286.676404,b'\x1b[0m\r\n'
1713840286.679727,"b'\x1b[0;32mI (277115) mpu6050 test: gyro_x:2.24, gyro_y:-2.58, gyro_z:-5.54\r\n'"
1713840286.679779,b'\x1b[0m\r\n'
1713840286.685282,"b'\x1b[0;32mI (277125) mpu6050 test: acce_x:0.40, acce_y:-0.14, acce_z:-0.92\r\n'"
1713840286.685316,b'\x1b[0m\r\n'
1713840286.691117,"b'\x1b[0;32mI (277125) mpu6050 test: gyro_x:2.92, gyro_y:-1.37, gyro_z:-4.98\r\n'"
1713840286.697461,b'\x1b[0m\r\n'
1713840286.7019572,"b'\x1b[0;32mI (277135) mpu6050 test: acce_x:0.40, acce_y:-0.15, acce_z:-0.92\r\n'"
1713840286.701996,b'\x1b[0m\r\n'
1713840286.7075908,"b'\x1b[0;32mI (277145) mpu6050 test: gyro_x:2.24, gyro_y:-0.34, gyro_z:-4.18\r\n'"
1713840286.7076259,b'\x1b[0m\r\n'
1713840286.713103,"b'\x1b[0;32mI (277145) mpu6050 test: acce_x:0.41, acce_y:-0.16, acce_z:-0.92\r\n'"
1713840286.7131362,b'\x1b[0m\r\n'
1713840286.718585,"b'\x1b[0;32mI (277155) mpu6050 test: gyro_x:1.05, gyro_y:0.70, gyro_z:-3.65\r\n'"
1713840286.7186182,b'\x1b[0m\r\n'
1713840286.729547,"b'\x1b[0;32mI (277165) mpu6050 test: acce_x:0.41, acce_y:-0.16, acce_z:-0.92\r\n'"
1713840286.729586,b'\x1b[0m\r\n'
1713840286.735136,"b'\x1b[0;32mI (277165) mpu6050 test: gyro_x:0.67, gyro_y:1.50, gyro_z:-3.76\r\n'"
1713840286.735175,b'\x1b[0m\r\n'
1713840286.741031,"b'\x1b[0;32mI (277175) mpu6050 test: acce_x:0.41, acce_y:-0.16, acce_z:-0.93\r\n'"
1713840286.7410822,b'\x1b[0m\r\n'
1713840286.746589,"b'\x1b[0;32mI (277185) mpu6050 test: gyro_x:0.06, gyro_y:2.27, gyro_z:-3.95\r\n'"
1713840286.7466292,b'\x1b[0m\r\n'
1713840286.757519,"b'\x1b[0;32mI (277195) mpu6050 test: acce_x:0.41, acce_y:-0.16, acce_z:-0.93\r\n'"
1713840286.757558,b'\x1b[0m\r\n'
1713840286.7630231,"b'\x1b[0;32mI (277195) mpu6050 test: gyro_x:-0.38, gyro_y:2.73, gyro_z:-3.68\r\n'"
1713840286.763063,b'\x1b[0m\r\n'
1713840286.768533,"b'\x1b[0;32mI (277205) mpu6050 test: acce_x:0.40, acce_y:-0.16, acce_z:-0.92\r\n'"
1713840286.768571,b'\x1b[0m\r\n'
1713840286.774287,"b'\x1b[0;32mI (277215) mpu6050 test: gyro_x:-0.76, gyro_y:3.21, gyro_z:-3.28\r\n'"
1713840286.774323,b'\x1b[0m\r\n'
1713840286.7797601,"b'\x1b[0;32mI (277215) mpu6050 test: acce_x:0.41, acce_y:-0.16, acce_z:-0.93\r\n'"
1713840286.785074,b'\x1b[0m\r\n'
1713840286.790852,"b'\x1b[0;32mI (277225) mpu6050 test: gyro_x:-1.22, gyro_y:3.33, gyro_z:-2.76\r\n'"
1713840286.79088,b'\x1b[0m\r\n'
1713840286.7963772,"b'\x1b[0;32mI (277235) mpu6050 test: acce_x:0.41, acce_y:-0.16, acce_z:-0.92\r\n'"
1713840286.796403,b'\x1b[0m\r\n'
1713840286.8017862,"b'\x1b[0;32mI (277235) mpu6050 test: gyro_x:-1.62, gyro_y:3.57, gyro_z:-2.78\r\n'"
1713840286.801811,b'\x1b[0m\r\n'
1713840286.8075972,"b'\x1b[0;32mI (277245) mpu6050 test: acce_x:0.41, acce_y:-0.15, acce_z:-0.93\r\n'"
1713840286.807621,b'\x1b[0m\r\n'
1713840286.818381,"b'\x1b[0;32mI (277255) mpu6050 test: gyro_x:-1.69, gyro_y:3.88, gyro_z:-2.35\r\n'"
1713840286.8184042,b'\x1b[0m\r\n'
