time,measure
1713840583.050144,"b' test: acce_x:0.42, acce_y:-0.22, acce_z:-0.90\r\n'"
1713840583.051323,b'\x1b[0m\r\n'
1713840583.055281,"b'\x1b[0;32mI (573495) mpu6050 test: gyro_x:-1.44, gyro_y:-7.47, gyro_z:-1.05\r\n'"
1713840583.060438,b'\x1b[0m\r\n'
1713840583.0662122,"b'\x1b[0;32mI (573505) mpu6050 test: acce_x:0.41, acce_y:-0.22, acce_z:-0.90\r\n'"
1713840583.0662909,b'\x1b[0m\r\n'
1713840583.07175,"b'\x1b[0;32mI (573505) mpu6050 test: gyro_x:-0.40, gyro_y:-8.46, gyro_z:-2.23\r\n'"
1713840583.071788,b'\x1b[0m\r\n'
1713840583.077211,"b'\x1b[0;32mI (573515) mpu6050 test: acce_x:0.41, acce_y:-0.22, acce_z:-0.90\r\n'"
1713840583.0772521,b'\x1b[0m\r\n'
1713840583.083072,"b'\x1b[0;32mI (573525) mpu6050 test: gyro_x:1.04, gyro_y:-9.71, gyro_z:-3.57\r\n'"
1713840583.088203,b'\x1b[0m\r\n'
1713840583.093729,"b'\x1b[0;32mI (573525) mpu6050 test: acce_x:0.40, acce_y:-0.22, acce_z:-0.90\r\n'"
1713840583.093764,b'\x1b[0m\r\n'
1713840583.099589,"b'\x1b[0;32mI (573535) mpu6050 test: gyro_x:2.78, gyro_y:-10.58, gyro_z:-4.99\r\n'"
1713840583.099626,b'\x1b[0m\r\n'
1713840583.105113,"b'\x1b[0;32mI (573545) mpu6050 test: acce_x:0.39, acce_y:-0.23, acce_z:-0.90\r\n'"
1713840583.105151,b'\x1b[0m\r\n'
1713840583.110584,"b'\x1b[0;32mI (573545) mpu6050 test: gyro_x:3.89, gyro_y:-10.60, gyro_z:-5.79\r\n'"
1713840583.116044,b'\x1b[0m\r\n'
1713840583.121557,"b'\x1b[0;32mI (573555) mpu6050 test: acce_x:0.38, acce_y:-0.23, acce_z:-0.89\r\n'"
1713840583.1216,b'\x1b[0m\r\n'
1713840583.127092,"b'\x1b[0;32mI (573565) mpu6050 test: gyro_x:5.16, gyro_y:-10.49, gyro_z:-6.87\r\n'"
1713840583.127126,b'\x1b[0m\r\n'
1713840583.132975,"b'\x1b[0;32mI (573565) mpu6050 test: acce_x:0.39, acce_y:-0.24, acce_z:-0.90\r\n'"
1713840583.133013,b'\x1b[0m\r\n'
1713840583.138449,"b'\x1b[0;32mI (573575) mpu6050 test: gyro_x:6.24, gyro_y:-9.28, gyro_z:-7.47\r\n'"
1713840583.138488,b'\x1b[0m\r\n'
1713840583.149482,"b'\x1b[0;32mI (573585) mpu6050 test: acce_x:0.38, acce_y:-0.26, acce_z:-0.90\r\n'"
1713840583.1495302,b'\x1b[0m\r\n'
1713840583.1549592,"b'\x1b[0;32mI (573595) mpu6050 test: gyro_x:6.09, gyro_y:-8.58, gyro_z:-7.97\r\n'"
1713840583.154992,b'\x1b[0m\r\n'
1713840583.1604,"b'\x1b[0;32mI (573595) mpu6050 test: acce_x:0.38, acce_y:-0.26, acce_z:-0.90\r\n'"
1713840583.1604302,b'\x1b[0m\r\n'
1713840583.166197,"b'\x1b[0;32mI (573605) mpu6050 test: gyro_x:5.66, gyro_y:-8.14, gyro_z:-8.24\r\n'"
1713840583.1662238,b'\x1b[0m\r\n'
1713840583.176959,"b'\x1b[0;32mI (573615) mpu6050 test: acce_x:0.39, acce_y:-0.27, acce_z:-0.90\r\n'"
1713840583.1769862,b'\x1b[0m\r\n'
1713840583.1827378,"b'\x1b[0;32mI (573615) mpu6050 test: gyro_x:5.48, gyro_y:-7.89, gyro_z:-8.93\r\n'"
1713840583.182763,b'\x1b[0m\r\n'
1713840583.188342,"b'\x1b[0;32mI (573625) mpu6050 test: acce_x:0.39, acce_y:-0.27, acce_z:-0.89\r\n'"
1713840583.1883771,b'\x1b[0m\r\n'
1713840583.1937869,"b'\x1b[0;32mI (573635) mpu6050 test: gyro_x:4.99, gyro_y:-8.41, gyro_z:-9.57\r\n'"
1713840583.193812,b'\x1b[0m\r\n'
1713840583.199639,"b'\x1b[0;32mI (573635) mpu6050 test: acce_x:0.39, acce_y:-0.27, acce_z:-0.90\r\n'"
1713840583.2048771,b'\x1b[0m\r\n'
1713840583.2103522,"b'\x1b[0;32mI (573645) mpu6050 test: gyro_x:4.67, gyro_y:-8.56, gyro_z:-10.24\r\n'"
1713840583.210376,b'\x1b[0m\r\n'
1713840583.216096,"b'\x1b[0;32mI (573655) mpu6050 test: acce_x:0.39, acce_y:-0.27, acce_z:-0.91\r\n'"
1713840583.2161212,b'\x1b[0m\r\n'
1713840583.2216399,"b'\x1b[0;32mI (573655) mpu6050 test: gyro_x:4.53, gyro_y:-9.13, gyro_z:-10.95\r\n'"
1713840583.221664,b'\x1b[0m\r\n'
1713840583.22711,"b'\x1b[0;32mI (573665) mpu6050 test: acce_x:0.39, acce_y:-0.28, acce_z:-0.90\r\n'"
1713840583.2326999,b'\x1b[0m\r\n'
1713840583.238183,"b'\x1b[0;32mI (573675) mpu6050 test: gyro_x:4.60, gyro_y:-9.51, gyro_z:-12.14\r\n'"
1713840583.238206,b'\x1b[0m\r\n'
1713840583.243681,"b'\x1b[0;32mI (573675) mpu6050 test: acce_x:0.39, acce_y:-0.28, acce_z:-0.91\r\n'"
1713840583.243705,b'\x1b[0m\r\n'
1713840583.249535,"b'\x1b[0;32mI (573685) mpu6050 test: gyro_x:3.44, gyro_y:-9.83, gyro_z:-12.55\r\n'"
1713840583.249559,b'\x1b[0m\r\n'
1713840583.255109,"b'\x1b[0;32mI (573695) mpu6050 test: acce_x:0.38, acce_y:-0.28, acce_z:-0.90\r\n'"
