time,measure
1713840437.156636,"b'\x1b[0;32mI (427595) mpu6050 test: acce_x:0.31, acce_y:-0.11, acce_z:-0.96\r\n'"
1713840437.15812,b'\x1b[0m\r\n'
1713840437.161721,"b'\x1b[0;32mI (427595) mpu6050 test: gyro_x:1.19, gyro_y:0.32, gyro_z:-5.79\r\n'"
1713840437.161749,b'\x1b[0m\r\n'
1713840437.167487,"b'\x1b[0;32mI (427605) mpu6050 test: acce_x:0.31, acce_y:-0.11, acce_z:-0.96\r\n'"
1713840437.1675148,b'\x1b[0m\r\n'
1713840437.173099,"b'\x1b[0;32mI (427615) mpu6050 test: gyro_x:2.14, gyro_y:1.18, gyro_z:-6.95\r\n'"
1713840437.173142,b'\x1b[0m\r\n'
1713840437.183917,"b'\x1b[0;32mI (427615) mpu6050 test: acce_x:0.30, acce_y:-0.11, acce_z:-0.97\r\n'"
1713840437.183948,b'\x1b[0m\r\n'
1713840437.189544,"b'\x1b[0;32mI (427625) mpu6050 test: gyro_x:2.63, gyro_y:2.34, gyro_z:-7.28\r\n'"
1713840437.1895769,b'\x1b[0m\r\n'
1713840437.1950562,"b'\x1b[0;32mI (427635) mpu6050 test: acce_x:0.31, acce_y:-0.11, acce_z:-0.97\r\n'"
1713840437.1950898,b'\x1b[0m\r\n'
1713840437.200904,"b'\x1b[0;32mI (427635) mpu6050 test: gyro_x:2.85, gyro_y:3.63, gyro_z:-7.53\r\n'"
1713840437.200937,b'\x1b[0m\r\n'
1713840437.206353,"b'\x1b[0;32mI (427645) mpu6050 test: acce_x:0.30, acce_y:-0.12, acce_z:-0.96\r\n'"
1713840437.2115269,b'\x1b[0m\r\n'
1713840437.217312,"b'\x1b[0;32mI (427655) mpu6050 test: gyro_x:3.07, gyro_y:5.42, gyro_z:-7.77\r\n'"
1713840437.2173529,b'\x1b[0m\r\n'
1713840437.222906,"b'\x1b[0;32mI (427655) mpu6050 test: acce_x:0.31, acce_y:-0.12, acce_z:-0.97\r\n'"
1713840437.2229388,b'\x1b[0m\r\n'
1713840437.228488,"b'\x1b[0;32mI (427665) mpu6050 test: gyro_x:3.34, gyro_y:6.46, gyro_z:-7.97\r\n'"
1713840437.2285209,b'\x1b[0m\r\n'
1713840437.234164,"b'\x1b[0;32mI (427675) mpu6050 test: acce_x:0.32, acce_y:-0.12, acce_z:-0.95\r\n'"
1713840437.234197,b'\x1b[0m\r\n'
1713840437.244939,"b'\x1b[0;32mI (427675) mpu6050 test: gyro_x:3.02, gyro_y:7.07, gyro_z:-8.20\r\n'"
1713840437.244983,b'\x1b[0m\r\n'
1713840437.250726,"b'\x1b[0;32mI (427685) mpu6050 test: acce_x:0.31, acce_y:-0.12, acce_z:-0.96\r\n'"
1713840437.250762,b'\x1b[0m\r\n'
1713840437.2562041,"b'\x1b[0;32mI (427695) mpu6050 test: gyro_x:3.28, gyro_y:7.94, gyro_z:-8.63\r\n'"
1713840437.256242,b'\x1b[0m\r\n'
