time,measure
1713841531.192831,b'm\r\n'
1713841531.197797,"b'\x1b[0;32mI (1521635) mpu6050 test: gyro_x:0.92, gyro_y:-8.99, gyro_z:2.84\r\n'"
1713841531.197831,b'\x1b[0m\r\n'
1713841531.203295,"b'\x1b[0;32mI (1521645) mpu6050 test: acce_x:0.36, acce_y:-0.22, acce_z:-0.91\r\n'"
1713841531.203329,b'\x1b[0m\r\n'
1713841531.209111,"b'\x1b[0;32mI (1521645) mpu6050 test: gyro_x:0.58, gyro_y:-8.56, gyro_z:2.61\r\n'"
1713841531.209145,b'\x1b[0m\r\n'
1713841531.214632,"b'\x1b[0;32mI (1521655) mpu6050 test: acce_x:0.36, acce_y:-0.21, acce_z:-0.91\r\n'"
1713841531.2197602,b'\x1b[0m\r\n'
1713841531.2255502,"b'\x1b[0;32mI (1521665) mpu6050 test: gyro_x:0.37, gyro_y:-7.71, gyro_z:2.75\r\n'"
1713841531.225593,b'\x1b[0m\r\n'
1713841531.231036,"b'\x1b[0;32mI (1521675) mpu6050 test: acce_x:0.36, acce_y:-0.22, acce_z:-0.92\r\n'"
1713841531.231075,b'\x1b[0m\r\n'
1713841531.236649,"b'\x1b[0;32mI (1521675) mpu6050 test: gyro_x:0.44, gyro_y:-6.70, gyro_z:2.43\r\n'"
1713841531.236694,b'\x1b[0m\r\n'
1713841531.242474,"b'\x1b[0;32mI (1521685) mpu6050 test: acce_x:0.35, acce_y:-0.21, acce_z:-0.92\r\n'"
1713841531.242512,b'\x1b[0m\r\n'
1713841531.2531981,"b'\x1b[0;32mI (1521695) mpu6050 test: gyro_x:0.73, gyro_y:-5.66, gyro_z:2.23\r\n'"
1713841531.2532392,b'\x1b[0m\r\n'
1713841531.2589881,"b'\x1b[0;32mI (1521695) mpu6050 test: acce_x:0.36, acce_y:-0.22, acce_z:-0.92\r\n'"
1713841531.259031,b'\x1b[0m\r\n'
1713841531.264549,"b'\x1b[0;32mI (1521705) mpu6050 test: gyro_x:0.46, gyro_y:-4.78, gyro_z:2.11\r\n'"
1713841531.264586,b'\x1b[0m\r\n'
1713841531.270147,"b'\x1b[0;32mI (1521715) mpu6050 test: acce_x:0.35, acce_y:-0.22, acce_z:-0.91\r\n'"
1713841531.270189,b'\x1b[0m\r\n'
1713841531.280997,"b'\x1b[0;32mI (1521715) mpu6050 test: gyro_x:0.55, gyro_y:-4.37, gyro_z:1.97\r\n'"
1713841531.28104,b'\x1b[0m\r\n'
1713841531.286589,"b'\x1b[0;32mI (1521725) mpu6050 test: acce_x:0.37, acce_y:-0.21, acce_z:-0.92\r\n'"
1713841531.2866309,b'\x1b[0m\r\n'
1713841531.292342,"b'\x1b[0;32mI (1521735) mpu6050 test: gyro_x:0.70, gyro_y:-4.06, gyro_z:1.79\r\n'"
1713841531.292385,b'\x1b[0m\r\n'
1713841531.297879,"b'\x1b[0;32mI (1521735) mpu6050 test: acce_x:0.36, acce_y:-0.22, acce_z:-0.92\r\n'"
1713841531.297913,b'\x1b[0m\r\n'
1713841531.3088572,"b'\x1b[0;32mI (1521745) mpu6050 test: gyro_x:0.67, gyro_y:-3.83, gyro_z:1.34\r\n'"
1713841531.30889,b'\x1b[0m\r\n'
1713841531.314362,"b'\x1b[0;32mI (1521755) mpu6050 test: acce_x:0.36, acce_y:-0.22, acce_z:-0.93\r\n'"
1713841531.3143911,b'\x1b[0m\r\n'
1713841531.3198369,"b'\x1b[0;32mI (1521765) mpu6050 test: gyro_x:0.37, gyro_y:-3.44, gyro_z:1.34\r\n'"
1713841531.319863,b'\x1b[0m\r\n'
1713841531.325674,"b'\x1b[0;32mI (1521765) mpu6050 test: acce_x:0.37, acce_y:-0.23, acce_z:-0.92\r\n'"
1713841531.3257,b'\x1b[0m\r\n'
1713841531.3364081,"b'\x1b[0;32mI (1521775) mpu6050 test: gyro_x:-0.18, gyro_y:-3.18, gyro_z:1.50\r\n'"
1713841531.336433,b'\x1b[0m\r\n'
1713841531.3421981,"b'\x1b[0;32mI (1521785) mpu6050 test: acce_x:0.37, acce_y:-0.22, acce_z:-0.93\r\n'"
1713841531.342222,b'\x1b[0m\r\n'
1713841531.347733,"b'\x1b[0;32mI (1521785) mpu6050 test: gyro_x:-0.60, gyro_y:-3.44, gyro_z:1.47\r\n'"
1713841531.347757,b'\x1b[0m\r\n'
1713841531.353333,"b'\x1b[0;32mI (1521795) mpu6050 test: acce_x:0.37, acce_y:-0.23, acce_z:-0.93\r\n'"
1713841531.353357,b'\x1b[0m\r\n'
1713841531.364751,"b'\x1b[0;32mI (1521805) mpu6050 test: gyro_x:-1.21, gyro_y:-3.73, gyro_z:1.15\r\n'"
1713841531.364775,b'\x1b[0m\r\n'
1713841531.369856,"b'\x1b[0;32mI (1521805) mpu6050 test: acce_x:0.37, acce_y:-0.22, acce_z:-0.93\r\n'"
1713841531.369882,b'\x1b[0m\r\n'
1713841531.375564,"b'\x1b[0;32mI (1521815) mpu6050 test: gyro_x:-1.57, gyro_y:-4.11, gyro_z:0.79\r\n'"
1713841531.3755882,b'\x1b[0m\r\n'
1713841531.381097,"b'\x1b[0;32mI (1521825) mpu6050 test: acce_x:0.36, acce_y:-0.22, acce_z:-0.94\r\n'"
1713841531.381121,b'\x1b[0m\r\n'
