time,measure
1713841477.881022,"b'\x1b[0;32mI (1468315) mpu6050 test: acce_x:0.51, acce_y:-0.10, acce_z:-0.89\r\n'"
1713841477.882116,b'\x1b[0m\r\n'
1713841477.885993,"b'\x1b[0;32mI (1468325) mpu6050 test: gyro_x:-1.28, gyro_y:5.91, gyro_z:0.60\r\n'"
1713841477.8860228,b'\x1b[0m\r\n'
1713841477.8918521,"b'\x1b[0;32mI (1468335) mpu6050 test: acce_x:0.52, acce_y:-0.10, acce_z:-0.88\r\n'"
1713841477.891882,b'\x1b[0m\r\n'
1713841477.8973382,"b'\x1b[0;32mI (1468335) mpu6050 test: gyro_x:-1.63, gyro_y:5.82, gyro_z:-0.20\r\n'"
1713841477.897368,b'\x1b[0m\r\n'
1713841477.908231,"b'\x1b[0;32mI (1468345) mpu6050 test: acce_x:0.52, acce_y:-0.10, acce_z:-0.88\r\n'"
1713841477.908268,b'\x1b[0m\r\n'
1713841477.913768,"b'\x1b[0;32mI (1468355) mpu6050 test: gyro_x:-1.77, gyro_y:5.57, gyro_z:-0.55\r\n'"
1713841477.913802,b'\x1b[0m\r\n'
1713841477.919401,"b'\x1b[0;32mI (1468355) mpu6050 test: acce_x:0.53, acce_y:-0.10, acce_z:-0.88\r\n'"
1713841477.919436,b'\x1b[0m\r\n'
1713841477.92508,"b'\x1b[0;32mI (1468365) mpu6050 test: gyro_x:-1.76, gyro_y:5.50, gyro_z:-0.64\r\n'"
1713841477.925102,b'\x1b[0m\r\n'
1713841477.9359412,"b'\x1b[0;32mI (1468375) mpu6050 test: acce_x:0.53, acce_y:-0.11, acce_z:-0.88\r\n'"
1713841477.935979,b'\x1b[0m\r\n'
1713841477.941786,"b'\x1b[0;32mI (1468385) mpu6050 test: gyro_x:-1.71, gyro_y:5.31, gyro_z:-0.95\r\n'"
1713841477.9418292,b'\x1b[0m\r\n'
1713841477.9473228,"b'\x1b[0;32mI (1468385) mpu6050 test: acce_x:0.53, acce_y:-0.10, acce_z:-0.87\r\n'"
1713841477.94736,b'\x1b[0m\r\n'
1713841477.952875,"b'\x1b[0;32mI (1468395) mpu6050 test: gyro_x:-1.39, gyro_y:4.69, gyro_z:-0.92\r\n'"
1713841477.952917,b'\x1b[0m\r\n'
1713841477.963816,"b'\x1b[0;32mI (1468405) mpu6050 test: acce_x:0.53, acce_y:-0.10, acce_z:-0.88\r\n'"
1713841477.963857,b'\x1b[0m\r\n'
1713841477.969367,"b'\x1b[0;32mI (1468405) mpu6050 test: gyro_x:-1.56, gyro_y:4.27, gyro_z:-0.85\r\n'"
1713841477.969409,b'\x1b[0m\r\n'
1713841477.975112,"b'\x1b[0;32mI (1468415) mpu6050 test: acce_x:0.54, acce_y:-0.10, acce_z:-0.87\r\n'"
1713841477.975154,b'\x1b[0m\r\n'
1713841477.980747,"b'\x1b[0;32mI (1468425) mpu6050 test: gyro_x:-1.63, gyro_y:3.60, gyro_z:-0.70\r\n'"
1713841477.980791,b'\x1b[0m\r\n'
1713841477.9918091,"b'\x1b[0;32mI (1468425) mpu6050 test: acce_x:0.54, acce_y:-0.10, acce_z:-0.87\r\n'"
1713841477.991853,b'\x1b[0m\r\n'
1713841477.997219,"b'\x1b[0;32mI (1468435) mpu6050 test: gyro_x:-1.71, gyro_y:3.07, gyro_z:-0.27\r\n'"
1713841477.99726,b'\x1b[0m\r\n'
1713841478.002753,"b'\x1b[0;32mI (1468445) mpu6050 test: acce_x:0.54, acce_y:-0.10, acce_z:-0.87\r\n'"
1713841478.002794,b'\x1b[0m\r\n'
1713841478.008662,"b'\x1b[0;32mI (1468445) mpu6050 test: gyro_x:-1.33, gyro_y:2.14, gyro_z:0.11\r\n'"
1713841478.008703,b'\x1b[0m\r\n'
1713841478.019238,"b'\x1b[0;32mI (1468455) mpu6050 test: acce_x:0.54, acce_y:-0.09, acce_z:-0.88\r\n'"
1713841478.019283,b'\x1b[0m\r\n'
1713841478.025043,"b'\x1b[0;32mI (1468465) mpu6050 test: gyro_x:-1.50, gyro_y:1.40, gyro_z:0.05\r\n'"
1713841478.025085,b'\x1b[0m\r\n'
1713841478.030571,"b'\x1b[0;32mI (1468475) mpu6050 test: acce_x:0.55, acce_y:-0.10, acce_z:-0.88\r\n'"
1713841478.030611,b'\x1b[0m\r\n'
1713841478.036077,"b'\x1b[0;32mI (1468475) mpu6050 test: gyro_x:-1.80, gyro_y:0.46, gyro_z:0.29\r\n'"
1713841478.036115,b'\x1b[0m\r\n'
1713841478.047025,"b'\x1b[0;32mI (1468485) mpu6050 test: acce_x:0.54, acce_y:-0.09, acce_z:-0.87\r\n'"
1713841478.047055,b'\x1b[0m\r\n'
1713841478.05257,"b'\x1b[0;32mI (1468495) mpu6050 test: gyro_x:-1.31, gyro_y:0.17, gyro_z:0.64\r\n'"
1713841478.0526001,b'\x1b[0m\r\n'
1713841478.058353,"b'\x1b[0;32mI (1468495) mpu6050 test: acce_x:0.54, acce_y:-0.09, acce_z:-0.88\r\n'"
1713841478.0583801,b'\x1b[0m\r\n'
1713841478.063908,"b'\x1b[0;32mI (1468505) mpu6050 test: gyro_x:-0.49, gyro_y:-0.52, gyro_z:0.61\r\n'"
1713841478.063933,b'\x1b[0m\r\n'
1713841478.074937,"b'\x1b[0;32mI (1468515) mpu6050 test: acce_x:0.54, acce_y:-0.09, acce_z:-0.88\r\n'"
1713841478.074962,b'\x1b[0m\r\n'
1713841478.080412,"b'\x1b[0;32mI (1468515) mpu6050 test: gyro_x:0.06, gyro_y:-0.75, gyro_z:0.70\r\n'"
1713841478.080438,b'\x1b[0m\r\n'
1713841478.085949,"b'\x1b[0;32mI (1468525) mpu6050 test: acce_x:0.54, acce_y:-0.10, acce_z:-0.88\r\n'"
1713841478.085977,b'\x1b[0m\r\n'
1713841478.0917199,"b'\x1b[0;32mI (1468535) mpu6050 test: gyro_x:0.14, gyro_y:-0.95, gyro_z:0.72\r\n'"
1713841478.091744,b'\x1b[0m\r\n'
1713841478.102481,"b'\x1b[0;32mI (1468535) mpu6050 test: acce_x:0.54, acce_y:-0.10, acce_z:-0.88\r\n'"
1713841478.102504,b'\x1b[0m\r\n'
1713841478.108255,"b'\x1b[0;32mI (1468545) mpu6050 test: gyro_x:-0.23, gyro_y:-1.18, gyro_z:0.76\r\n'"
1713841478.108278,b'\x1b[0m\r\n'
1713841478.113792,"b'\x1b[0;32mI (1468555) mpu6050 test: acce_x:0.53, acce_y:-0.10, acce_z:-0.88\r\n'"
1713841478.113825,b'\x1b[0m\r\n'
1713841478.1193228,"b'\x1b[0;32mI (1468565) mpu6050 test: gyro_x:-0.26, gyro_y:-1.45, gyro_z:1.02\r\n'"
1713841478.1193469,b'\x1b[0m\r\n'
1713841478.130381,"b'\x1b[0;32mI (1468565) mpu6050 test: acce_x:0.54, acce_y:-0.10, acce_z:-0.88\r\n'"
1713841478.130406,b'\x1b[0m\r\n'
1713841478.1359181,"b'\x1b[0;32mI (1468575) mpu6050 test: gyro_x:-0.06, gyro_y:-1.80, gyro_z:1.27\r\n'"
1713841478.135947,b'\x1b[0m\r\n'
1713841478.1416562,"b'\x1b[0;32mI (1468585) mpu6050 test: acce_x:0.53, acce_y:-0.10, acce_z:-0.87\r\n'"
1713841478.141679,b'\x1b[0m\r\n'
1713841478.1471832,"b'\x1b[0;32mI (1468585) mpu6050 test: gyro_x:-0.03, gyro_y:-2.11, gyro_z:1.54\r\n'"
1713841478.147207,b'\x1b[0m\r\n'
1713841478.158228,"b'\x1b[0;32mI (1468595) mpu6050 test: acce_x:0.53, acce_y:-0.10, acce_z:-0.87\r\n'"
1713841478.158251,b'\x1b[0m\r\n'
1713841478.163743,"b'\x1b[0;32mI (1468605) mpu6050 test: gyro_x:0.21, gyro_y:-2.67, gyro_z:1.95\r\n'"
1713841478.163765,b'\x1b[0m\r\n'
1713841478.1710038,"b'\x1b[0;32mI (1468605) mpu6050 test: acce_x:0.54, acce_y:-0.11, acce_z:-0.86\r\n'"
1713841478.171029,b'\x1b[0m\r\n'
1713841478.175104,"b'\x1b[0;32mI (1468615) mpu6050 test: gyro_x:0.32, gyro_y:-3.30, gyro_z:2.11\r\n'"
1713841478.1751292,b'\x1b[0m\r\n'
1713841478.18591,"b'\x1b[0;32mI (1468625) mpu6050 test: acce_x:0.53, acce_y:-0.10, acce_z:-0.87\r\n'"
1713841478.185936,b'\x1b[0m\r\n'
1713841478.1916218,"b'\x1b[0;32mI (1468625) mpu6050 test: gyro_x:0.31, gyro_y:-3.85, gyro_z:2.53\r\n'"
1713841478.191649,b'\x1b[0m\r\n'
1713841478.197154,"b'\x1b[0;32mI (1468635) mpu6050 test: acce_x:0.52, acce_y:-0.11, acce_z:-0.88\r\n'"
1713841478.1971872,b'\x1b[0m\r\n'
1713841478.202633,"b'\x1b[0;32mI (1468645) mpu6050 test: gyro_x:0.02, gyro_y:-3.92, gyro_z:2.52\r\n'"
1713841478.202658,b'\x1b[0m\r\n'
1713841478.2083468,"b'\x1b[0;32mI (1468655) mpu6050 test: acce_x:0.53, acce_y:-0.11, acce_z:-0.86\r\n'"
1713841478.2137,b'\x1b[0m\r\n'
1713841478.2191648,"b'\x1b[0;32mI (1468655) mpu6050 test: gyro_x:-0.37, gyro_y:-4.11, gyro_z:3.16\r\n'"
1713841478.219188,b'\x1b[0m\r\n'
1713841478.2250009,"b'\x1b[0;32mI (1468665) mpu6050 test: acce_x:0.53, acce_y:-0.11, acce_z:-0.87\r\n'"
1713841478.225024,b'\x1b[0m\r\n'
1713841478.2305012,"b'\x1b[0;32mI (1468675) mpu6050 test: gyro_x:-0.63, gyro_y:-4.38, gyro_z:3.28\r\n'"
1713841478.230525,b'\x1b[0m\r\n'
1713841478.235986,"b'\x1b[0;32mI (1468675) mpu6050 test: acce_x:0.53, acce_y:-0.11, acce_z:-0.87\r\n'"
1713841478.241579,b'\x1b[0m\r\n'
1713841478.247067,"b'\x1b[0;32mI (1468685) mpu6050 test: gyro_x:-0.78, gyro_y:-4.55, gyro_z:3.51\r\n'"
1713841478.2470899,b'\x1b[0m\r\n'
1713841478.252534,"b'\x1b[0;32mI (1468695) mpu6050 test: acce_x:0.52, acce_y:-0.11, acce_z:-0.88\r\n'"
1713841478.2525609,b'\x1b[0m\r\n'
1713841478.258382,"b'\x1b[0;32mI (1468695) mpu6050 test: gyro_x:-0.69, gyro_y:-4.44, gyro_z:3.34\r\n'"
1713841478.258406,b'\x1b[0m\r\n'
1713841478.263841,"b'\x1b[0;32mI (1468705) mpu6050 test: acce_x:0.52, acce_y:-0.11, acce_z:-0.88\r\n'"
1713841478.269181,b'\x1b[0m\r\n'
