time,measure
1713841260.479611,"b'_y:-0.20, acce_z:-0.92\r\n'"
1713841260.481091,b'\x1b[0m\r\n'
1713841260.484524,"b'\x1b[0;32mI (1250925) mpu6050 test: gyro_x:-2.67, gyro_y:-3.85, gyro_z:1.22\r\n'"
1713841260.484555,b'\x1b[0m\r\n'
1713841260.490091,"b'\x1b[0;32mI (1250935) mpu6050 test: acce_x:0.37, acce_y:-0.19, acce_z:-0.93\r\n'"
1713841260.490124,b'\x1b[0m\r\n'
1713841260.501085,"b'\x1b[0;32mI (1250935) mpu6050 test: gyro_x:-2.75, gyro_y:-3.10, gyro_z:0.53\r\n'"
1713841260.5011148,b'\x1b[0m\r\n'
1713841260.506539,"b'\x1b[0;32mI (1250945) mpu6050 test: acce_x:0.38, acce_y:-0.19, acce_z:-0.94\r\n'"
1713841260.506572,b'\x1b[0m\r\n'
1713841260.512326,"b'\x1b[0;32mI (1250955) mpu6050 test: gyro_x:-2.58, gyro_y:-2.87, gyro_z:0.09\r\n'"
1713841260.512361,b'\x1b[0m\r\n'
1713841260.517935,"b'\x1b[0;32mI (1250955) mpu6050 test: acce_x:0.38, acce_y:-0.19, acce_z:-0.92\r\n'"
1713841260.517966,b'\x1b[0m\r\n'
1713841260.528914,"b'\x1b[0;32mI (1250965) mpu6050 test: gyro_x:-2.31, gyro_y:-2.67, gyro_z:-0.35\r\n'"
1713841260.528944,b'\x1b[0m\r\n'
1713841260.5344489,"b'\x1b[0;32mI (1250975) mpu6050 test: acce_x:0.37, acce_y:-0.18, acce_z:-0.93\r\n'"
1713841260.534482,b'\x1b[0m\r\n'
1713841260.539982,"b'\x1b[0;32mI (1250975) mpu6050 test: gyro_x:-1.88, gyro_y:-2.93, gyro_z:-0.37\r\n'"
1713841260.5400152,b'\x1b[0m\r\n'
1713841260.545772,"b'\x1b[0;32mI (1250985) mpu6050 test: acce_x:0.36, acce_y:-0.18, acce_z:-0.93\r\n'"
1713841260.545811,b'\x1b[0m\r\n'
1713841260.5565388,"b'\x1b[0;32mI (1250995) mpu6050 test: gyro_x:-1.63, gyro_y:-2.34, gyro_z:-0.98\r\n'"
1713841260.556577,b'\x1b[0m\r\n'
1713841260.562319,"b'\x1b[0;32mI (1251005) mpu6050 test: acce_x:0.36, acce_y:-0.19, acce_z:-0.93\r\n'"
1713841260.562353,b'\x1b[0m\r\n'
1713841260.567816,"b'\x1b[0;32mI (1251005) mpu6050 test: gyro_x:-1.68, gyro_y:-1.27, gyro_z:-0.69\r\n'"
1713841260.567848,b'\x1b[0m\r\n'
1713841260.573319,"b'\x1b[0;32mI (1251015) mpu6050 test: acce_x:0.37, acce_y:-0.19, acce_z:-0.93\r\n'"
1713841260.578902,b'\x1b[0m\r\n'
1713841260.584377,"b'\x1b[0;32mI (1251025) mpu6050 test: gyro_x:-1.07, gyro_y:-0.23, gyro_z:-0.73\r\n'"
1713841260.5844119,b'\x1b[0m\r\n'
1713841260.5899708,"b'\x1b[0;32mI (1251025) mpu6050 test: acce_x:0.37, acce_y:-0.19, acce_z:-0.92\r\n'"
1713841260.589997,b'\x1b[0m\r\n'
1713841260.595628,"b'\x1b[0;32mI (1251035) mpu6050 test: gyro_x:-0.69, gyro_y:0.38, gyro_z:-1.10\r\n'"
1713841260.5956538,b'\x1b[0m\r\n'
1713841260.601168,"b'\x1b[0;32mI (1251045) mpu6050 test: acce_x:0.38, acce_y:-0.18, acce_z:-0.93\r\n'"
1713841260.6064472,b'\x1b[0m\r\n'
1713841260.6122,"b'\x1b[0;32mI (1251045) mpu6050 test: gyro_x:-0.09, gyro_y:0.63, gyro_z:-1.15\r\n'"
1713841260.612224,b'\x1b[0m\r\n'
