time,measure
1713841717.462152,"b'st: gyro_x:-1.60, gyro_y:-2.05, gyro_z:2.60\r\n'"
1713841717.463546,b'\x1b[0m\r\n'
1713841717.467241,"b'\x1b[0;32mI (1707915) mpu6050 test: acce_x:0.56, acce_y:-0.17, acce_z:-0.84\r\n'"
1713841717.473092,b'\x1b[0m\r\n'
1713841717.481676,"b'\x1b[0;32mI (1707915) mpu6050 test: gyro_x:-1.71, gyro_y:-1.82, gyro_z:2.24\r\n'"
1713841717.481708,b'\x1b[0m\r\n'
1713841717.4837928,"b'\x1b[0;32mI (1707925) mpu6050 test: acce_x:0.57, acce_y:-0.18, acce_z:-0.84\r\n'"
1713841717.483892,b'\x1b[0m\r\n'
1713841717.4892778,"b'\x1b[0;32mI (1707935) mpu6050 test: gyro_x:-2.08, gyro_y:-1.82, gyro_z:2.06\r\n'"
1713841717.4893088,b'\x1b[0m\r\n'
1713841717.495075,"b'\x1b[0;32mI (1707935) mpu6050 test: acce_x:0.57, acce_y:-0.18, acce_z:-0.84\r\n'"
1713841717.500362,b'\x1b[0m\r\n'
1713841717.505794,"b'\x1b[0;32mI (1707945) mpu6050 test: gyro_x:-2.46, gyro_y:-1.80, gyro_z:1.97\r\n'"
1713841717.5058281,b'\x1b[0m\r\n'
1713841717.51159,"b'\x1b[0;32mI (1707955) mpu6050 test: acce_x:0.58, acce_y:-0.18, acce_z:-0.84\r\n'"
1713841717.511627,b'\x1b[0m\r\n'
1713841717.517097,"b'\x1b[0;32mI (1707955) mpu6050 test: gyro_x:-2.84, gyro_y:-2.31, gyro_z:2.15\r\n'"
1713841717.517132,b'\x1b[0m\r\n'
1713841717.5227551,"b'\x1b[0;32mI (1707965) mpu6050 test: acce_x:0.58, acce_y:-0.17, acce_z:-0.85\r\n'"
1713841717.528172,b'\x1b[0m\r\n'
1713841717.533694,"b'\x1b[0;32mI (1707975) mpu6050 test: gyro_x:-2.98, gyro_y:-3.31, gyro_z:2.72\r\n'"
1713841717.5337322,b'\x1b[0m\r\n'
1713841717.539244,"b'\x1b[0;32mI (1707975) mpu6050 test: acce_x:0.58, acce_y:-0.17, acce_z:-0.84\r\n'"
1713841717.539277,b'\x1b[0m\r\n'
1713841717.54512,"b'\x1b[0;32mI (1707985) mpu6050 test: gyro_x:-3.39, gyro_y:-3.60, gyro_z:3.37\r\n'"
1713841717.545156,b'\x1b[0m\r\n'
1713841717.550622,"b'\x1b[0;32mI (1707995) mpu6050 test: acce_x:0.57, acce_y:-0.16, acce_z:-0.85\r\n'"
1713841717.555804,b'\x1b[0m\r\n'
1713841717.5615842,"b'\x1b[0;32mI (1708005) mpu6050 test: gyro_x:-3.36, gyro_y:-3.94, gyro_z:3.77\r\n'"
1713841717.56162,b'\x1b[0m\r\n'
1713841717.567096,"b'\x1b[0;32mI (1708005) mpu6050 test: acce_x:0.56, acce_y:-0.17, acce_z:-0.85\r\n'"
1713841717.5671418,b'\x1b[0m\r\n'
1713841717.572706,"b'\x1b[0;32mI (1708015) mpu6050 test: gyro_x:-2.95, gyro_y:-3.94, gyro_z:4.21\r\n'"
1713841717.572753,b'\x1b[0m\r\n'
1713841717.578528,"b'\x1b[0;32mI (1708025) mpu6050 test: acce_x:0.56, acce_y:-0.17, acce_z:-0.85\r\n'"
1713841717.5837,b'\x1b[0m\r\n'
1713841717.5892491,"b'\x1b[0;32mI (1708025) mpu6050 test: gyro_x:-3.28, gyro_y:-4.11, gyro_z:4.56\r\n'"
1713841717.589291,b'\x1b[0m\r\n'
1713841717.5950458,"b'\x1b[0;32mI (1708035) mpu6050 test: acce_x:0.57, acce_y:-0.17, acce_z:-0.85\r\n'"
1713841717.595087,b'\x1b[0m\r\n'
1713841717.600571,"b'\x1b[0;32mI (1708045) mpu6050 test: gyro_x:-3.44, gyro_y:-3.97, gyro_z:5.01\r\n'"
1713841717.600615,b'\x1b[0m\r\n'
1713841717.6060648,"b'\x1b[0;32mI (1708045) mpu6050 test: acce_x:0.57, acce_y:-0.17, acce_z:-0.85\r\n'"
1713841717.611553,b'\x1b[0m\r\n'
1713841717.616992,"b'\x1b[0;32mI (1708055) mpu6050 test: gyro_x:-3.68, gyro_y:-4.35, gyro_z:5.27\r\n'"
1713841717.617026,b'\x1b[0m\r\n'
1713841717.622547,"b'\x1b[0;32mI (1708065) mpu6050 test: acce_x:0.57, acce_y:-0.18, acce_z:-0.85\r\n'"
1713841717.6225832,b'\x1b[0m\r\n'
1713841717.628319,"b'\x1b[0;32mI (1708065) mpu6050 test: gyro_x:-3.95, gyro_y:-4.84, gyro_z:5.53\r\n'"
1713841717.6283488,b'\x1b[0m\r\n'
1713841717.633813,"b'\x1b[0;32mI (1708075) mpu6050 test: acce_x:0.57, acce_y:-0.17, acce_z:-0.85\r\n'"
1713841717.6390889,b'\x1b[0m\r\n'
1713841717.6448839,"b'\x1b[0;32mI (1708085) mpu6050 test: gyro_x:-4.00, gyro_y:-5.59, gyro_z:6.09\r\n'"
1713841717.644911,b'\x1b[0m\r\n'
