time,measure
1713840326.46981,"b' (316905) mpu6050 test: gyro_x:-0.64, gyro_y:-1.82, gyro_z:-3.57\r\n'"
1713840326.4711401,b'\x1b[0m\r\n'
1713840326.475014,"b'\x1b[0;32mI (316905) mpu6050 test: acce_x:0.39, acce_y:-0.17, acce_z:-0.93\r\n'"
1713840326.4750762,b'\x1b[0m\r\n'
1713840326.48095,"b'\x1b[0;32mI (316915) mpu6050 test: gyro_x:-0.26, gyro_y:-0.98, gyro_z:-3.39\r\n'"
1713840326.4809868,b'\x1b[0m\r\n'
1713840326.486329,"b'\x1b[0;32mI (316925) mpu6050 test: acce_x:0.38, acce_y:-0.18, acce_z:-0.92\r\n'"
1713840326.486366,b'\x1b[0m\r\n'
1713840326.4917629,"b'\x1b[0;32mI (316935) mpu6050 test: gyro_x:0.08, gyro_y:0.27, gyro_z:-2.84\r\n'"
1713840326.4972742,b'\x1b[0m\r\n'
1713840326.502768,"b'\x1b[0;32mI (316935) mpu6050 test: acce_x:0.39, acce_y:-0.18, acce_z:-0.93\r\n'"
1713840326.5028129,b'\x1b[0m\r\n'
1713840326.508308,"b'\x1b[0;32mI (316945) mpu6050 test: gyro_x:-0.05, gyro_y:1.18, gyro_z:-2.20\r\n'"
1713840326.508342,b'\x1b[0m\r\n'
1713840326.514117,"b'\x1b[0;32mI (316955) mpu6050 test: acce_x:0.39, acce_y:-0.18, acce_z:-0.92\r\n'"
1713840326.514154,b'\x1b[0m\r\n'
1713840326.519695,"b'\x1b[0;32mI (316955) mpu6050 test: gyro_x:-0.14, gyro_y:1.71, gyro_z:-1.62\r\n'"
1713840326.519731,b'\x1b[0m\r\n'
1713840326.530633,"b'\x1b[0;32mI (316965) mpu6050 test: acce_x:0.40, acce_y:-0.18, acce_z:-0.92\r\n'"
1713840326.530669,b'\x1b[0m\r\n'
1713840326.5361788,"b'\x1b[0;32mI (316975) mpu6050 test: gyro_x:-0.56, gyro_y:1.56, gyro_z:-1.01\r\n'"
1713840326.536227,b'\x1b[0m\r\n'
