time,measure
1713841745.0262651,"b'.17, acce_z:-0.89\r\n'"
1713841745.027974,b'\x1b[0m\r\n'
1713841745.03123,"b'\x1b[0;32mI (1735475) mpu6050 test: gyro_x:0.14, gyro_y:-17.16, gyro_z:4.35\r\n'"
1713841745.031265,b'\x1b[0m\r\n'
1713841745.03675,"b'\x1b[0;32mI (1735475) mpu6050 test: acce_x:0.52, acce_y:-0.17, acce_z:-0.89\r\n'"
1713841745.0367858,b'\x1b[0m\r\n'
1713841745.047754,"b'\x1b[0;32mI (1735485) mpu6050 test: gyro_x:0.35, gyro_y:-18.43, gyro_z:4.27\r\n'"
1713841745.0477922,b'\x1b[0m\r\n'
1713841745.053198,"b'\x1b[0;32mI (1735495) mpu6050 test: acce_x:0.51, acce_y:-0.18, acce_z:-0.88\r\n'"
1713841745.053235,b'\x1b[0m\r\n'
1713841745.058958,"b'\x1b[0;32mI (1735495) mpu6050 test: gyro_x:0.76, gyro_y:-18.64, gyro_z:4.23\r\n'"
1713841745.058995,b'\x1b[0m\r\n'
1713841745.064555,"b'\x1b[0;32mI (1735505) mpu6050 test: acce_x:0.52, acce_y:-0.18, acce_z:-0.89\r\n'"
1713841745.0646038,b'\x1b[0m\r\n'
1713841745.075524,"b'\x1b[0;32mI (1735515) mpu6050 test: gyro_x:0.81, gyro_y:-19.57, gyro_z:4.52\r\n'"
1713841745.075574,b'\x1b[0m\r\n'
1713841745.081098,"b'\x1b[0;32mI (1735525) mpu6050 test: acce_x:0.50, acce_y:-0.18, acce_z:-0.90\r\n'"
1713841745.081141,b'\x1b[0m\r\n'
1713841745.086647,"b'\x1b[0;32mI (1735525) mpu6050 test: gyro_x:0.46, gyro_y:-20.56, gyro_z:4.76\r\n'"
1713841745.08669,b'\x1b[0m\r\n'
1713841745.092465,"b'\x1b[0;32mI (1735535) mpu6050 test: acce_x:0.50, acce_y:-0.19, acce_z:-0.90\r\n'"
1713841745.0925162,b'\x1b[0m\r\n'
1713841745.1031418,"b'\x1b[0;32mI (1735545) mpu6050 test: gyro_x:0.58, gyro_y:-22.11, gyro_z:4.99\r\n'"
1713841745.103185,b'\x1b[0m\r\n'
1713841745.1090162,"b'\x1b[0;32mI (1735545) mpu6050 test: acce_x:0.47, acce_y:-0.17, acce_z:-0.89\r\n'"
1713841745.109065,b'\x1b[0m\r\n'
1713841745.114507,"b'\x1b[0;32mI (1735555) mpu6050 test: gyro_x:0.49, gyro_y:-22.87, gyro_z:5.16\r\n'"
1713841745.114562,b'\x1b[0m\r\n'
1713841745.120041,"b'\x1b[0;32mI (1735565) mpu6050 test: acce_x:0.46, acce_y:-0.19, acce_z:-0.90\r\n'"
1713841745.1200871,b'\x1b[0m\r\n'
1713841745.130948,"b'\x1b[0;32mI (1735565) mpu6050 test: gyro_x:0.44, gyro_y:-22.85, gyro_z:5.40\r\n'"
1713841745.1309981,b'\x1b[0m\r\n'
1713841745.136467,"b'\x1b[0;32mI (1735575) mpu6050 test: acce_x:0.46, acce_y:-0.18, acce_z:-0.90\r\n'"
1713841745.136509,b'\x1b[0m\r\n'
1713841745.142236,"b'\x1b[0;32mI (1735585) mpu6050 test: gyro_x:0.41, gyro_y:-22.99, gyro_z:5.42\r\n'"
1713841745.142269,b'\x1b[0m\r\n'
1713841745.147858,"b'\x1b[0;32mI (1735595) mpu6050 test: acce_x:0.44, acce_y:-0.19, acce_z:-0.90\r\n'"
1713841745.1478882,b'\x1b[0m\r\n'
1713841745.158767,"b'\x1b[0;32mI (1735595) mpu6050 test: gyro_x:0.43, gyro_y:-23.21, gyro_z:5.54\r\n'"
1713841745.158802,b'\x1b[0m\r\n'
1713841745.164311,"b'\x1b[0;32mI (1735605) mpu6050 test: acce_x:0.43, acce_y:-0.18, acce_z:-0.91\r\n'"
1713841745.164337,b'\x1b[0m\r\n'
1713841745.169788,"b'\x1b[0;32mI (1735615) mpu6050 test: gyro_x:0.69, gyro_y:-23.62, gyro_z:5.51\r\n'"
