time,measure
1713843856.4478002,"b' test: acce_x:0.38, acce_y:-0.25, acce_z:-0.91\r\n'"
1713843856.4488509,b'\x1b[0m\r\n'
1713843856.4528608,"b'\x1b[0;32mI (2025845) mpu6050 test: gyro_x:-1.16, gyro_y:3.71, gyro_z:-1.15\r\n'"
1713843856.458061,b'\x1b[0m\r\n'
1713843856.463882,"b'\x1b[0;32mI (2025855) mpu6050 test: acce_x:0.38, acce_y:-0.25, acce_z:-0.92\r\n'"
1713843856.463914,b'\x1b[0m\r\n'
1713843856.469274,"b'\x1b[0;32mI (2025865) mpu6050 test: gyro_x:-1.39, gyro_y:3.76, gyro_z:-1.15\r\n'"
1713843856.469326,b'\x1b[0m\r\n'
1713843856.4748642,"b'\x1b[0;32mI (2025865) mpu6050 test: acce_x:0.38, acce_y:-0.26, acce_z:-0.92\r\n'"
1713843856.4748979,b'\x1b[0m\r\n'
1713843856.480688,"b'\x1b[0;32mI (2025875) mpu6050 test: gyro_x:-1.47, gyro_y:3.60, gyro_z:-1.42\r\n'"
1713843856.485831,b'\x1b[0m\r\n'
1713843856.491327,"b'\x1b[0;32mI (2025885) mpu6050 test: acce_x:0.38, acce_y:-0.26, acce_z:-0.92\r\n'"
1713843856.4913652,b'\x1b[0m\r\n'
1713843856.497198,"b'\x1b[0;32mI (2025895) mpu6050 test: gyro_x:-1.85, gyro_y:3.69, gyro_z:-1.57\r\n'"
1713843856.4972422,b'\x1b[0m\r\n'
1713843856.502898,"b'\x1b[0;32mI (2025895) mpu6050 test: acce_x:0.38, acce_y:-0.25, acce_z:-0.91\r\n'"
1713843856.502938,b'\x1b[0m\r\n'
1713843856.5083919,"b'\x1b[0;32mI (2025905) mpu6050 test: gyro_x:-2.15, gyro_y:3.51, gyro_z:-1.47\r\n'"
1713843856.5138218,b'\x1b[0m\r\n'
1713843856.519302,"b'\x1b[0;32mI (2025915) mpu6050 test: acce_x:0.38, acce_y:-0.25, acce_z:-0.92\r\n'"
1713843856.519346,b'\x1b[0m\r\n'
1713843856.5248861,"b'\x1b[0;32mI (2025915) mpu6050 test: gyro_x:-1.82, gyro_y:3.74, gyro_z:-1.21\r\n'"
1713843856.524926,b'\x1b[0m\r\n'
1713843856.530633,"b'\x1b[0;32mI (2025925) mpu6050 test: acce_x:0.38, acce_y:-0.25, acce_z:-0.92\r\n'"
1713843856.530676,b'\x1b[0m\r\n'
1713843856.53615,"b'\x1b[0;32mI (2025935) mpu6050 test: gyro_x:-1.80, gyro_y:3.74, gyro_z:-1.28\r\n'"
1713843856.541348,b'\x1b[0m\r\n'
1713843856.5470889,"b'\x1b[0;32mI (2025935) mpu6050 test: acce_x:0.38, acce_y:-0.25, acce_z:-0.91\r\n'"
1713843856.5471208,b'\x1b[0m\r\n'
1713843856.5526981,"b'\x1b[0;32mI (2025945) mpu6050 test: gyro_x:-1.40, gyro_y:3.74, gyro_z:-1.25\r\n'"
1713843856.55273,b'\x1b[0m\r\n'
1713843856.558199,"b'\x1b[0;32mI (2025955) mpu6050 test: acce_x:0.38, acce_y:-0.25, acce_z:-0.91\r\n'"
1713843856.5582342,b'\x1b[0m\r\n'
1713843856.5639942,"b'\x1b[0;32mI (2025965) mpu6050 test: gyro_x:-1.47, gyro_y:3.89, gyro_z:-1.08\r\n'"
1713843856.569222,b'\x1b[0m\r\n'
1713843856.574671,"b'\x1b[0;32mI (2025965) mpu6050 test: acce_x:0.37, acce_y:-0.25, acce_z:-0.91\r\n'"
1713843856.574701,b'\x1b[0m\r\n'
1713843856.580491,"b'\x1b[0;32mI (2025975) mpu6050 test: gyro_x:-2.02, gyro_y:4.02, gyro_z:-0.87\r\n'"
1713843856.580516,b'\x1b[0m\r\n'
1713843856.586015,"b'\x1b[0;32mI (2025985) mpu6050 test: acce_x:0.38, acce_y:-0.25, acce_z:-0.91\r\n'"
1713843856.586039,b'\x1b[0m\r\n'
1713843856.5914729,"b'\x1b[0;32mI (2025985) mpu6050 test: gyro_x:-2.35, gyro_y:4.03, gyro_z:-0.89\r\n'"
1713843856.597072,b'\x1b[0m\r\n'
1713843856.602505,"b'\x1b[0;32mI (2025995) mpu6050 test: acce_x:0.37, acce_y:-0.24, acce_z:-0.91\r\n'"
1713843856.602528,b'\x1b[0m\r\n'
1713843856.608029,"b'\x1b[0;32mI (2026005) mpu6050 test: gyro_x:-2.31, gyro_y:4.58, gyro_z:-1.07\r\n'"
1713843856.608053,b'\x1b[0m\r\n'
