time,measure
1713844739.4138088,b'z:-2.46\r\n'
1713844739.4154382,b'\x1b[0m\r\n'
1713844739.4187598,"b'\x1b[0;32mI (2908815) mpu6050 test: acce_x:0.72, acce_y:-0.20, acce_z:-0.71\r\n'"
1713844739.418795,b'\x1b[0m\r\n'
1713844739.4244668,"b'\x1b[0;32mI (2908825) mpu6050 test: gyro_x:-0.41, gyro_y:-1.10, gyro_z:-2.69\r\n'"
1713844739.4245,b'\x1b[0m\r\n'
1713844739.4301481,"b'\x1b[0;32mI (2908835) mpu6050 test: acce_x:0.72, acce_y:-0.20, acce_z:-0.71\r\n'"
1713844739.430179,b'\x1b[0m\r\n'
1713844739.4408178,"b'\x1b[0;32mI (2908845) mpu6050 test: gyro_x:-0.40, gyro_y:-1.44, gyro_z:-2.99\r\n'"
1713844739.4408479,b'\x1b[0m\r\n'
1713844739.446651,"b'\x1b[0;32mI (2908845) mpu6050 test: acce_x:0.72, acce_y:-0.19, acce_z:-0.71\r\n'"
1713844739.4466848,b'\x1b[0m\r\n'
1713844739.4539268,"b'\x1b[0;32mI (2908855) mpu6050 test: gyro_x:-0.15, gyro_y:-1.86, gyro_z:-2.90\r\n'"
1713844739.453962,b'\x1b[0m\r\n'
1713844739.459723,"b'\x1b[0;32mI (2908865) mpu6050 test: acce_x:0.72, acce_y:-0.19, acce_z:-0.71\r\n'"
1713844739.4632142,b'\x1b[0m\r\n'
1713844739.468705,"b'\x1b[0;32mI (2908865) mpu6050 test: gyro_x:-0.06, gyro_y:-2.35, gyro_z:-2.98\r\n'"
1713844739.468745,b'\x1b[0m\r\n'
1713844739.4742458,"b'\x1b[0;32mI (2908875) mpu6050 test: acce_x:0.72, acce_y:-0.19, acce_z:-0.71\r\n'"
1713844739.474284,b'\x1b[0m\r\n'
1713844739.480212,"b'\x1b[0;32mI (2908885) mpu6050 test: gyro_x:0.02, gyro_y:-2.37, gyro_z:-2.99\r\n'"
1713844739.480256,b'\x1b[0m\r\n'
1713844739.485729,"b'\x1b[0;32mI (2908885) mpu6050 test: acce_x:0.72, acce_y:-0.18, acce_z:-0.72\r\n'"
1713844739.4908412,b'\x1b[0m\r\n'
