time,measure
1713843661.0139651,"b' (1830405) mpu6050 test: acce_x:0.35, acce_y:-0.27, acce_z:-0.90\r\n'"
1713843661.0154529,b'\x1b[0m\r\n'
1713843661.0211341,"b'\x1b[0;32mI (1830415) mpu6050 test: gyro_x:-5.82, gyro_y:-9.08, gyro_z:2.34\r\n'"
1713843661.021167,b'\x1b[0m\r\n'
1713843661.0240262,"b'\x1b[0;32mI (1830415) mpu6050 test: acce_x:0.35, acce_y:-0.27, acce_z:-0.90\r\n'"
1713843661.024058,b'\x1b[0m\r\n'
1713843661.029088,"b'\x1b[0;32mI (1830425) mpu6050 test: gyro_x:-5.15, gyro_y:-7.88, gyro_z:2.00\r\n'"
1713843661.029116,b'\x1b[0m\r\n'
1713843661.040035,"b'\x1b[0;32mI (1830435) mpu6050 test: acce_x:0.34, acce_y:-0.27, acce_z:-0.91\r\n'"
1713843661.040067,b'\x1b[0m\r\n'
1713843661.0456011,"b'\x1b[0;32mI (1830435) mpu6050 test: gyro_x:-4.53, gyro_y:-6.66, gyro_z:1.40\r\n'"
1713843661.045632,b'\x1b[0m\r\n'
1713843661.0510888,"b'\x1b[0;32mI (1830445) mpu6050 test: acce_x:0.35, acce_y:-0.27, acce_z:-0.90\r\n'"
1713843661.05112,b'\x1b[0m\r\n'
1713843661.056869,"b'\x1b[0;32mI (1830455) mpu6050 test: gyro_x:-4.26, gyro_y:-5.88, gyro_z:0.81\r\n'"
1713843661.0569,b'\x1b[0m\r\n'
1713843661.067638,"b'\x1b[0;32mI (1830455) mpu6050 test: acce_x:0.34, acce_y:-0.27, acce_z:-0.90\r\n'"
1713843661.0676732,b'\x1b[0m\r\n'
1713843661.073518,"b'\x1b[0;32mI (1830465) mpu6050 test: gyro_x:-3.68, gyro_y:-4.78, gyro_z:0.60\r\n'"
1713843661.0735512,b'\x1b[0m\r\n'
1713843661.079079,"b'\x1b[0;32mI (1830475) mpu6050 test: acce_x:0.35, acce_y:-0.27, acce_z:-0.90\r\n'"
1713843661.0791209,b'\x1b[0m\r\n'
1713843661.08463,"b'\x1b[0;32mI (1830475) mpu6050 test: gyro_x:-3.25, gyro_y:-4.12, gyro_z:0.17\r\n'"
1713843661.084668,b'\x1b[0m\r\n'
1713843661.095485,"b'\x1b[0;32mI (1830485) mpu6050 test: acce_x:0.35, acce_y:-0.27, acce_z:-0.90\r\n'"
1713843661.095527,b'\x1b[0m\r\n'
1713843661.1010711,"b'\x1b[0;32mI (1830495) mpu6050 test: gyro_x:-2.87, gyro_y:-3.40, gyro_z:-0.05\r\n'"
1713843661.10111,b'\x1b[0m\r\n'
1713843661.106896,"b'\x1b[0;32mI (1830505) mpu6050 test: acce_x:0.35, acce_y:-0.27, acce_z:-0.90\r\n'"
1713843661.10693,b'\x1b[0m\r\n'
1713843661.112315,"b'\x1b[0;32mI (1830505) mpu6050 test: gyro_x:-2.24, gyro_y:-2.58, gyro_z:-0.24\r\n'"
1713843661.112343,b'\x1b[0m\r\n'
1713843661.12336,"b'\x1b[0;32mI (1830515) mpu6050 test: acce_x:0.35, acce_y:-0.27, acce_z:-0.90\r\n'"
1713843661.123394,b'\x1b[0m\r\n'
1713843661.128918,"b'\x1b[0;32mI (1830525) mpu6050 test: gyro_x:-2.05, gyro_y:-1.80, gyro_z:-0.46\r\n'"
1713843661.128942,b'\x1b[0m\r\n'
1713843661.134408,"b'\x1b[0;32mI (1830525) mpu6050 test: acce_x:0.36, acce_y:-0.27, acce_z:-0.90\r\n'"
1713843661.1344352,b'\x1b[0m\r\n'
1713843661.140238,"b'\x1b[0;32mI (1830535) mpu6050 test: gyro_x:-1.51, gyro_y:-1.53, gyro_z:-0.78\r\n'"
1713843661.140262,b'\x1b[0m\r\n'
1713843661.150979,"b'\x1b[0;32mI (1830545) mpu6050 test: acce_x:0.37, acce_y:-0.27, acce_z:-0.90\r\n'"
1713843661.1510022,b'\x1b[0m\r\n'
1713843661.1567569,"b'\x1b[0;32mI (1830545) mpu6050 test: gyro_x:-0.82, gyro_y:-1.33, gyro_z:-0.95\r\n'"
1713843661.15678,b'\x1b[0m\r\n'
1713843661.162275,"b'\x1b[0;32mI (1830555) mpu6050 test: acce_x:0.37, acce_y:-0.28, acce_z:-0.89\r\n'"
1713843661.162299,b'\x1b[0m\r\n'
1713843661.167788,"b'\x1b[0;32mI (1830565) mpu6050 test: gyro_x:-0.40, gyro_y:-0.87, gyro_z:-1.50\r\n'"
1713843661.1678112,b'\x1b[0m\r\n'
1713843661.178824,"b'\x1b[0;32mI (1830575) mpu6050 test: acce_x:0.37, acce_y:-0.27, acce_z:-0.90\r\n'"
1713843661.178848,b'\x1b[0m\r\n'
1713843661.18436,"b'\x1b[0;32mI (1830575) mpu6050 test: gyro_x:-0.17, gyro_y:-0.70, gyro_z:-1.65\r\n'"
1713843661.184383,b'\x1b[0m\r\n'
1713843661.1901288,"b'\x1b[0;32mI (1830585) mpu6050 test: acce_x:0.36, acce_y:-0.28, acce_z:-0.90\r\n'"
1713843661.190153,b'\x1b[0m\r\n'
1713843661.195668,"b'\x1b[0;32mI (1830595) mpu6050 test: gyro_x:0.14, gyro_y:-0.02, gyro_z:-2.00\r\n'"
1713843661.1956952,b'\x1b[0m\r\n'
1713843661.206732,"b'\x1b[0;32mI (1830595) mpu6050 test: acce_x:0.36, acce_y:-0.28, acce_z:-0.91\r\n'"
1713843661.206756,b'\x1b[0m\r\n'
1713843661.212233,"b'\x1b[0;32mI (1830605) mpu6050 test: gyro_x:0.35, gyro_y:0.20, gyro_z:-2.14\r\n'"
1713843661.212257,b'\x1b[0m\r\n'
1713843661.2177439,"b'\x1b[0;32mI (1830615) mpu6050 test: acce_x:0.37, acce_y:-0.28, acce_z:-0.90\r\n'"
1713843661.217773,b'\x1b[0m\r\n'
1713843661.223899,"b'\x1b[0;32mI (1830615) mpu6050 test: gyro_x:0.66, gyro_y:0.52, gyro_z:-2.41\r\n'"
1713843661.223923,b'\x1b[0m\r\n'
1713843661.2344608,"b'\x1b[0;32mI (1830625) mpu6050 test: acce_x:0.37, acce_y:-0.28, acce_z:-0.89\r\n'"
1713843661.234485,b'\x1b[0m\r\n'
1713843661.240118,"b'\x1b[0;32mI (1830635) mpu6050 test: gyro_x:0.61, gyro_y:1.11, gyro_z:-2.73\r\n'"
1713843661.2401412,b'\x1b[0m\r\n'
1713843661.2456262,"b'\x1b[0;32mI (1830635) mpu6050 test: acce_x:0.36, acce_y:-0.28, acce_z:-0.89\r\n'"
1713843661.2456498,b'\x1b[0m\r\n'
1713843661.251151,"b'\x1b[0;32mI (1830645) mpu6050 test: gyro_x:0.38, gyro_y:1.80, gyro_z:-2.58\r\n'"
1713843661.251182,b'\x1b[0m\r\n'
1713843661.262232,"b'\x1b[0;32mI (1830655) mpu6050 test: acce_x:0.36, acce_y:-0.28, acce_z:-0.88\r\n'"
1713843661.262263,b'\x1b[0m\r\n'
1713843661.267693,"b'\x1b[0;32mI (1830665) mpu6050 test: gyro_x:0.98, gyro_y:2.89, gyro_z:-2.96\r\n'"
1713843661.267722,b'\x1b[0m\r\n'
1713843661.2734962,"b'\x1b[0;32mI (1830665) mpu6050 test: acce_x:0.37, acce_y:-0.28, acce_z:-0.90\r\n'"
1713843661.2735202,b'\x1b[0m\r\n'
1713843661.2790148,"b'\x1b[0;32mI (1830675) mpu6050 test: gyro_x:1.24, gyro_y:3.39, gyro_z:-3.31\r\n'"
1713843661.279039,b'\x1b[0m\r\n'
1713843661.290068,"b'\x1b[0;32mI (1830685) mpu6050 test: acce_x:0.37, acce_y:-0.29, acce_z:-0.90\r\n'"
1713843661.290091,b'\x1b[0m\r\n'
1713843661.295579,"b'\x1b[0;32mI (1830685) mpu6050 test: gyro_x:1.33, gyro_y:4.60, gyro_z:-3.65\r\n'"
1713843661.2956018,b'\x1b[0m\r\n'
1713843661.3011231,"b'\x1b[0;32mI (1830695) mpu6050 test: acce_x:0.37, acce_y:-0.29, acce_z:-0.90\r\n'"
1713843661.301147,b'\x1b[0m\r\n'
1713843661.306881,"b'\x1b[0;32mI (1830705) mpu6050 test: gyro_x:0.85, gyro_y:5.56, gyro_z:-3.71\r\n'"
1713843661.306905,b'\x1b[0m\r\n'
1713843661.317607,"b'\x1b[0;32mI (1830705) mpu6050 test: acce_x:0.37, acce_y:-0.29, acce_z:-0.90\r\n'"
1713843661.317633,b'\x1b[0m\r\n'
1713843661.3234282,"b'\x1b[0;32mI (1830715) mpu6050 test: gyro_x:0.05, gyro_y:6.34, gyro_z:-3.94\r\n'"
1713843661.32346,b'\x1b[0m\r\n'
1713843661.3289149,"b'\x1b[0;32mI (1830725) mpu6050 test: acce_x:0.38, acce_y:-0.29, acce_z:-0.89\r\n'"
1713843661.328938,b'\x1b[0m\r\n'
1713843661.334453,"b'\x1b[0;32mI (1830725) mpu6050 test: gyro_x:-0.24, gyro_y:7.34, gyro_z:-4.20\r\n'"
1713843661.3344781,b'\x1b[0m\r\n'
1713843661.340328,"b'\x1b[0;32mI (1830735) mpu6050 test: acce_x:0.39, acce_y:-0.29, acce_z:-0.89\r\n'"
1713843661.345494,b'\x1b[0m\r\n'
1713843661.351011,"b'\x1b[0;32mI (1830745) mpu6050 test: gyro_x:-0.17, gyro_y:8.31, gyro_z:-4.17\r\n'"
1713843661.3510349,b'\x1b[0m\r\n'
1713843661.356864,"b'\x1b[0;32mI (1830755) mpu6050 test: acce_x:0.39, acce_y:-0.29, acce_z:-0.89\r\n'"
1713843661.3568919,b'\x1b[0m\r\n'
1713843661.362304,"b'\x1b[0;32mI (1830755) mpu6050 test: gyro_x:-0.41, gyro_y:9.36, gyro_z:-4.70\r\n'"
1713843661.362327,b'\x1b[0m\r\n'
1713843661.367806,"b'\x1b[0;32mI (1830765) mpu6050 test: acce_x:0.39, acce_y:-0.29, acce_z:-0.89\r\n'"
1713843661.373378,b'\x1b[0m\r\n'
1713843661.378855,"b'\x1b[0;32mI (1830775) mpu6050 test: gyro_x:-0.76, gyro_y:10.08, gyro_z:-5.16\r\n'"
