time,measure
1713844799.4276989,"b';32mI (2968825) mpu6050 test: acce_x:0.78, acce_y:-0.13, acce_z:-0.66\r\n'"
1713844799.4293919,b'\x1b[0m\r\n'
1713844799.432639,"b'\x1b[0;32mI (2968835) mpu6050 test: gyro_x:11.01, gyro_y:-3.19, gyro_z:-9.05\r\n'"
1713844799.43268,b'\x1b[0m\r\n'
1713844799.438447,"b'\x1b[0;32mI (2968845) mpu6050 test: acce_x:0.78, acce_y:-0.13, acce_z:-0.66\r\n'"
1713844799.4384809,b'\x1b[0m\r\n'
1713844799.44397,"b'\x1b[0;32mI (2968845) mpu6050 test: gyro_x:12.99, gyro_y:-3.88, gyro_z:-11.80\r\n'"
1713844799.444004,b'\x1b[0m\r\n'
1713844799.454999,"b'\x1b[0;32mI (2968855) mpu6050 test: acce_x:0.78, acce_y:-0.13, acce_z:-0.66\r\n'"
1713844799.455036,b'\x1b[0m\r\n'
1713844799.460583,"b'\x1b[0;32mI (2968865) mpu6050 test: gyro_x:14.98, gyro_y:-4.52, gyro_z:-14.41\r\n'"
1713844799.460621,b'\x1b[0m\r\n'
1713844799.465985,"b'\x1b[0;32mI (2968865) mpu6050 test: acce_x:0.78, acce_y:-0.13, acce_z:-0.66\r\n'"
1713844799.466007,b'\x1b[0m\r\n'
1713844799.471957,"b'\x1b[0;32mI (2968875) mpu6050 test: gyro_x:17.42, gyro_y:-5.34, gyro_z:-17.13\r\n'"
1713844799.477082,b'\x1b[0m\r\n'
1713844799.4825118,"b'\x1b[0;32mI (2968885) mpu6050 test: acce_x:0.79, acce_y:-0.13, acce_z:-0.66\r\n'"
1713844799.482582,b'\x1b[0m\r\n'
1713844799.488653,"b'\x1b[0;32mI (2968885) mpu6050 test: gyro_x:19.63, gyro_y:-6.21, gyro_z:-19.91\r\n'"
1713844799.488796,b'\x1b[0m\r\n'
1713844799.493948,"b'\x1b[0;32mI (2968895) mpu6050 test: acce_x:0.79, acce_y:-0.13, acce_z:-0.66\r\n'"
1713844799.493994,b'\x1b[0m\r\n'
1713844799.504979,"b'\x1b[0;32mI (2968905) mpu6050 test: gyro_x:22.23, gyro_y:-7.10, gyro_z:-22.37\r\n'"
1713844799.505014,b'\x1b[0m\r\n'
1713844799.510473,"b'\x1b[0;32mI (2968915) mpu6050 test: acce_x:0.79, acce_y:-0.13, acce_z:-0.66\r\n'"
1713844799.510506,b'\x1b[0m\r\n'
1713844799.516067,"b'\x1b[0;32mI (2968915) mpu6050 test: gyro_x:24.61, gyro_y:-8.41, gyro_z:-24.93\r\n'"
1713844799.516107,b'\x1b[0m\r\n'
