time,measure
1713844935.180552,"b'test: gyro_x:43.25, gyro_y:-14.06, gyro_z:-54.76\r\n'"
1713844935.182247,b'\x1b[0m\r\n'
1713844935.1907089,"b'\x1b[0;32mI (3104585) mpu6050 test: acce_x:0.72, acce_y:-0.17, acce_z:-0.70\r\n'"
1713844935.190787,b'\x1b[0m\r\n'
1713844935.196453,"b'\x1b[0;32mI (3104595) mpu6050 test: gyro_x:42.96, gyro_y:-14.93, gyro_z:-54.47\r\n'"
1713844935.196486,b'\x1b[0m\r\n'
1713844935.202074,"b'\x1b[0;32mI (3104605) mpu6050 test: acce_x:0.73, acce_y:-0.18, acce_z:-0.71\r\n'"
1713844935.202112,b'\x1b[0m\r\n'
1713844935.207593,"b'\x1b[0;32mI (3104615) mpu6050 test: gyro_x:42.49, gyro_y:-15.10, gyro_z:-53.37\r\n'"
1713844935.2076302,b'\x1b[0m\r\n'
1713844935.218477,"b'\x1b[0;32mI (3104615) mpu6050 test: acce_x:0.72, acce_y:-0.19, acce_z:-0.71\r\n'"
1713844935.218518,b'\x1b[0m\r\n'
1713844935.224127,"b'\x1b[0;32mI (3104625) mpu6050 test: gyro_x:42.05, gyro_y:-15.25, gyro_z:-52.20\r\n'"
1713844935.224169,b'\x1b[0m\r\n'
1713844935.229967,"b'\x1b[0;32mI (3104635) mpu6050 test: acce_x:0.71, acce_y:-0.19, acce_z:-0.71\r\n'"
1713844935.230012,b'\x1b[0m\r\n'
1713844935.235568,"b'\x1b[0;32mI (3104635) mpu6050 test: gyro_x:40.66, gyro_y:-14.75, gyro_z:-50.89\r\n'"
1713844935.240675,b'\x1b[0m\r\n'
1713844935.246496,"b'\x1b[0;32mI (3104645) mpu6050 test: acce_x:0.71, acce_y:-0.19, acce_z:-0.72\r\n'"
1713844935.246544,b'\x1b[0m\r\n'
1713844935.252031,"b'\x1b[0;32mI (3104655) mpu6050 test: gyro_x:40.03, gyro_y:-14.17, gyro_z:-49.22\r\n'"
1713844935.252085,b'\x1b[0m\r\n'
1713844935.2576158,"b'\x1b[0;32mI (3104665) mpu6050 test: acce_x:0.72, acce_y:-0.18, acce_z:-0.72\r\n'"
1713844935.257664,b'\x1b[0m\r\n'
1713844935.26861,"b'\x1b[0;32mI (3104665) mpu6050 test: gyro_x:39.88, gyro_y:-13.85, gyro_z:-48.15\r\n'"
1713844935.268665,b'\x1b[0m\r\n'
1713844935.274136,"b'\x1b[0;32mI (3104675) mpu6050 test: acce_x:0.73, acce_y:-0.17, acce_z:-0.71\r\n'"
1713844935.274187,b'\x1b[0m\r\n'
1713844935.279895,"b'\x1b[0;32mI (3104685) mpu6050 test: gyro_x:40.90, gyro_y:-13.92, gyro_z:-48.17\r\n'"
1713844935.279946,b'\x1b[0m\r\n'
1713844935.285517,"b'\x1b[0;32mI (3104685) mpu6050 test: acce_x:0.73, acce_y:-0.17, acce_z:-0.72\r\n'"
1713844935.2855659,b'\x1b[0m\r\n'
1713844935.296513,"b'\x1b[0;32mI (3104695) mpu6050 test: gyro_x:42.06, gyro_y:-14.14, gyro_z:-48.61\r\n'"
1713844935.2965581,b'\x1b[0m\r\n'
1713844935.301975,"b'\x1b[0;32mI (3104705) mpu6050 test: acce_x:0.72, acce_y:-0.19, acce_z:-0.71\r\n'"
1713844935.302016,b'\x1b[0m\r\n'
1713844935.307607,"b'\x1b[0;32mI (3104705) mpu6050 test: gyro_x:42.21, gyro_y:-13.86, gyro_z:-48.27\r\n'"
1713844935.307648,b'\x1b[0m\r\n'
1713844935.313452,"b'\x1b[0;32mI (3104715) mpu6050 test: acce_x:0.72, acce_y:-0.19, acce_z:-0.71\r\n'"
1713844935.31852,b'\x1b[0m\r\n'
1713844935.324028,"b'\x1b[0;32mI (3104725) mpu6050 test: gyro_x:40.92, gyro_y:-13.63, gyro_z:-47.77\r\n'"
1713844935.324071,b'\x1b[0m\r\n'
1713844935.3298671,"b'\x1b[0;32mI (3104735) mpu6050 test: acce_x:0.71, acce_y:-0.19, acce_z:-0.72\r\n'"
1713844935.3299232,b'\x1b[0m\r\n'
1713844935.3354151,"b'\x1b[0;32mI (3104735) mpu6050 test: gyro_x:39.97, gyro_y:-13.50, gyro_z:-47.33\r\n'"
1713844935.335454,b'\x1b[0m\r\n'
1713844935.346335,"b'\x1b[0;32mI (3104745) mpu6050 test: acce_x:0.72, acce_y:-0.20, acce_z:-0.72\r\n'"
1713844935.3463712,b'\x1b[0m\r\n'
1713844935.351899,"b'\x1b[0;32mI (3104755) mpu6050 test: gyro_x:39.28, gyro_y:-13.30, gyro_z:-46.41\r\n'"
1713844935.3519292,b'\x1b[0m\r\n'
1713844935.357452,"b'\x1b[0;32mI (3104755) mpu6050 test: acce_x:0.71, acce_y:-0.20, acce_z:-0.72\r\n'"
1713844935.357481,b'\x1b[0m\r\n'
1713844935.363179,"b'\x1b[0;32mI (3104765) mpu6050 test: gyro_x:37.85, gyro_y:-12.40, gyro_z:-44.63\r\n'"
1713844935.363206,b'\x1b[0m\r\n'
1713844935.373974,"b'\x1b[0;32mI (3104775) mpu6050 test: acce_x:0.70, acce_y:-0.20, acce_z:-0.72\r\n'"
1713844935.374,b'\x1b[0m\r\n'
1713844935.379785,"b'\x1b[0;32mI (3104785) mpu6050 test: gyro_x:36.61, gyro_y:-11.88, gyro_z:-43.30\r\n'"
1713844935.379811,b'\x1b[0m\r\n'
1713844935.385282,"b'\x1b[0;32mI (3104785) mpu6050 test: acce_x:0.70, acce_y:-0.20, acce_z:-0.72\r\n'"
1713844935.3853061,b'\x1b[0m\r\n'
1713844935.3907928,"b'\x1b[0;32mI (3104795) mpu6050 test: gyro_x:34.81, gyro_y:-11.71, gyro_z:-42.20\r\n'"
1713844935.396331,b'\x1b[0m\r\n'
1713844935.401856,"b'\x1b[0;32mI (3104805) mpu6050 test: acce_x:0.70, acce_y:-0.20, acce_z:-0.73\r\n'"
1713844935.40188,b'\x1b[0m\r\n'
1713844935.407348,"b'\x1b[0;32mI (3104805) mpu6050 test: gyro_x:33.16, gyro_y:-11.31, gyro_z:-40.63\r\n'"
1713844935.407373,b'\x1b[0m\r\n'
1713844935.413138,"b'\x1b[0;32mI (3104815) mpu6050 test: acce_x:0.71, acce_y:-0.20, acce_z:-0.73\r\n'"
1713844935.413162,b'\x1b[0m\r\n'
1713844935.423989,"b'\x1b[0;32mI (3104825) mpu6050 test: gyro_x:31.56, gyro_y:-10.92, gyro_z:-39.54\r\n'"
1713844935.4240131,b'\x1b[0m\r\n'
1713844935.429705,"b'\x1b[0;32mI (3104835) mpu6050 test: acce_x:0.70, acce_y:-0.20, acce_z:-0.72\r\n'"
1713844935.42974,b'\x1b[0m\r\n'
1713844935.435317,"b'\x1b[0;32mI (3104835) mpu6050 test: gyro_x:30.17, gyro_y:-10.67, gyro_z:-38.43\r\n'"
1713844935.435339,b'\x1b[0m\r\n'
1713844935.440762,"b'\x1b[0;32mI (3104845) mpu6050 test: acce_x:0.69, acce_y:-0.20, acce_z:-0.73\r\n'"
1713844935.44079,b'\x1b[0m\r\n'
1713844935.451848,"b'\x1b[0;32mI (3104855) mpu6050 test: gyro_x:28.44, gyro_y:-9.74, gyro_z:-37.22\r\n'"
1713844935.451872,b'\x1b[0m\r\n'
1713844935.457335,"b'\x1b[0;32mI (3104855) mpu6050 test: acce_x:0.70, acce_y:-0.21, acce_z:-0.73\r\n'"
1713844935.4573581,b'\x1b[0m\r\n'
1713844935.463146,"b'\x1b[0;32mI (3104865) mpu6050 test: gyro_x:26.15, gyro_y:-8.67, gyro_z:-35.97\r\n'"
1713844935.463169,b'\x1b[0m\r\n'
