time,measure
1713843923.444803,"b' mpu6050 test: gyro_x:-2.08, gyro_y:2.70, gyro_z:-1.24\r\n'"
1713843923.446199,b'\x1b[0m\r\n'
1713843923.454967,"b'\x1b[0;32mI (2092845) mpu6050 test: acce_x:0.46, acce_y:-0.25, acce_z:-0.88\r\n'"
1713843923.455014,b'\x1b[0m\r\n'
1713843923.4607942,"b'\x1b[0;32mI (2092855) mpu6050 test: gyro_x:-2.31, gyro_y:2.64, gyro_z:-1.39\r\n'"
1713843923.4608698,b'\x1b[0m\r\n'
1713843923.466279,"b'\x1b[0;32mI (2092865) mpu6050 test: acce_x:0.45, acce_y:-0.25, acce_z:-0.88\r\n'"
1713843923.466309,b'\x1b[0m\r\n'
1713843923.4718049,"b'\x1b[0;32mI (2092865) mpu6050 test: gyro_x:-2.06, gyro_y:2.82, gyro_z:-1.34\r\n'"
1713843923.471835,b'\x1b[0m\r\n'
1713843923.4829729,"b'\x1b[0;32mI (2092875) mpu6050 test: acce_x:0.45, acce_y:-0.25, acce_z:-0.88\r\n'"
1713843923.483007,b'\x1b[0m\r\n'
1713843923.488356,"b'\x1b[0;32mI (2092885) mpu6050 test: gyro_x:-2.18, gyro_y:3.42, gyro_z:-1.66\r\n'"
1713843923.488389,b'\x1b[0m\r\n'
1713843923.49419,"b'\x1b[0;32mI (2092885) mpu6050 test: acce_x:0.45, acce_y:-0.25, acce_z:-0.88\r\n'"
1713843923.494223,b'\x1b[0m\r\n'
1713843923.499776,"b'\x1b[0;32mI (2092895) mpu6050 test: gyro_x:-2.14, gyro_y:3.94, gyro_z:-1.60\r\n'"
1713843923.499809,b'\x1b[0m\r\n'
1713843923.5107589,"b'\x1b[0;32mI (2092905) mpu6050 test: acce_x:0.45, acce_y:-0.25, acce_z:-0.87\r\n'"
1713843923.510796,b'\x1b[0m\r\n'
1713843923.5161998,"b'\x1b[0;32mI (2092905) mpu6050 test: gyro_x:-1.92, gyro_y:4.61, gyro_z:-1.54\r\n'"
1713843923.516244,b'\x1b[0m\r\n'
1713843923.521727,"b'\x1b[0;32mI (2092915) mpu6050 test: acce_x:0.45, acce_y:-0.25, acce_z:-0.88\r\n'"
1713843923.5217679,b'\x1b[0m\r\n'
1713843923.52755,"b'\x1b[0;32mI (2092925) mpu6050 test: gyro_x:-1.94, gyro_y:4.61, gyro_z:-1.89\r\n'"
1713843923.5275898,b'\x1b[0m\r\n'
1713843923.538283,"b'\x1b[0;32mI (2092935) mpu6050 test: acce_x:0.46, acce_y:-0.25, acce_z:-0.87\r\n'"
1713843923.538319,b'\x1b[0m\r\n'
1713843923.5440152,"b'\x1b[0;32mI (2092935) mpu6050 test: gyro_x:-1.80, gyro_y:5.07, gyro_z:-2.09\r\n'"
1713843923.544043,b'\x1b[0m\r\n'
1713843923.549567,"b'\x1b[0;32mI (2092945) mpu6050 test: acce_x:0.46, acce_y:-0.25, acce_z:-0.87\r\n'"
1713843923.549593,b'\x1b[0m\r\n'
1713843923.5551,"b'\x1b[0;32mI (2092955) mpu6050 test: gyro_x:-1.85, gyro_y:5.39, gyro_z:-1.74\r\n'"
1713843923.555126,b'\x1b[0m\r\n'
1713843923.566087,"b'\x1b[0;32mI (2092955) mpu6050 test: acce_x:0.45, acce_y:-0.25, acce_z:-0.86\r\n'"
