time,measure
1713843840.3683462,"b'-3.42, gyro_y:3.31, gyro_z:-1.31\r\n'"
1713843840.369913,b'\x1b[0m\r\n'
1713843840.373322,"b'\x1b[0;32mI (2009765) mpu6050 test: acce_x:0.44, acce_y:-0.24, acce_z:-0.88\r\n'"
1713843840.373358,b'\x1b[0m\r\n'
1713843840.3843231,"b'\x1b[0;32mI (2009775) mpu6050 test: gyro_x:-3.42, gyro_y:3.56, gyro_z:-1.39\r\n'"
1713843840.384355,b'\x1b[0m\r\n'
1713843840.3898509,"b'\x1b[0;32mI (2009785) mpu6050 test: acce_x:0.45, acce_y:-0.24, acce_z:-0.89\r\n'"
1713843840.389885,b'\x1b[0m\r\n'
1713843840.395442,"b'\x1b[0;32mI (2009785) mpu6050 test: gyro_x:-3.50, gyro_y:3.68, gyro_z:-1.66\r\n'"
1713843840.395475,b'\x1b[0m\r\n'
1713843840.4011462,"b'\x1b[0;32mI (2009795) mpu6050 test: acce_x:0.45, acce_y:-0.24, acce_z:-0.88\r\n'"
1713843840.401182,b'\x1b[0m\r\n'
1713843840.4119658,"b'\x1b[0;32mI (2009805) mpu6050 test: gyro_x:-3.69, gyro_y:3.76, gyro_z:-1.79\r\n'"
1713843840.412009,b'\x1b[0m\r\n'
1713843840.417755,"b'\x1b[0;32mI (2009815) mpu6050 test: acce_x:0.45, acce_y:-0.24, acce_z:-0.89\r\n'"
1713843840.417792,b'\x1b[0m\r\n'
1713843840.423297,"b'\x1b[0;32mI (2009815) mpu6050 test: gyro_x:-3.80, gyro_y:4.35, gyro_z:-2.12\r\n'"
1713843840.4233322,b'\x1b[0m\r\n'
1713843840.428839,"b'\x1b[0;32mI (2009825) mpu6050 test: acce_x:0.45, acce_y:-0.24, acce_z:-0.89\r\n'"
1713843840.4288719,b'\x1b[0m\r\n'
1713843840.439821,"b'\x1b[0;32mI (2009835) mpu6050 test: gyro_x:-4.03, gyro_y:4.75, gyro_z:-2.63\r\n'"
1713843840.4398599,b'\x1b[0m\r\n'
1713843840.4453702,"b'\x1b[0;32mI (2009835) mpu6050 test: acce_x:0.45, acce_y:-0.24, acce_z:-0.88\r\n'"
1713843840.445407,b'\x1b[0m\r\n'
1713843840.4511292,"b'\x1b[0;32mI (2009845) mpu6050 test: gyro_x:-4.12, gyro_y:5.34, gyro_z:-2.87\r\n'"
1713843840.451165,b'\x1b[0m\r\n'
1713843840.456631,"b'\x1b[0;32mI (2009855) mpu6050 test: acce_x:0.45, acce_y:-0.24, acce_z:-0.89\r\n'"
1713843840.456671,b'\x1b[0m\r\n'
1713843840.467629,"b'\x1b[0;32mI (2009855) mpu6050 test: gyro_x:-4.21, gyro_y:5.92, gyro_z:-3.16\r\n'"
1713843840.46767,b'\x1b[0m\r\n'
1713843840.473127,"b'\x1b[0;32mI (2009865) mpu6050 test: acce_x:0.45, acce_y:-0.23, acce_z:-0.90\r\n'"
1713843840.4731688,b'\x1b[0m\r\n'
1713843840.4787142,"b'\x1b[0;32mI (2009875) mpu6050 test: gyro_x:-4.08, gyro_y:5.98, gyro_z:-3.56\r\n'"
1713843840.478752,b'\x1b[0m\r\n'
1713843840.484641,"b'\x1b[0;32mI (2009875) mpu6050 test: acce_x:0.44, acce_y:-0.23, acce_z:-0.89\r\n'"
1713843840.484679,b'\x1b[0m\r\n'
1713843840.495222,"b'\x1b[0;32mI (2009885) mpu6050 test: gyro_x:-3.91, gyro_y:6.70, gyro_z:-3.92\r\n'"
1713843840.495264,b'\x1b[0m\r\n'
1713843840.501057,"b'\x1b[0;32mI (2009895) mpu6050 test: acce_x:0.45, acce_y:-0.23, acce_z:-0.89\r\n'"
1713843840.501098,b'\x1b[0m\r\n'
1713843840.5066,"b'\x1b[0;32mI (2009905) mpu6050 test: gyro_x:-3.83, gyro_y:7.48, gyro_z:-4.23\r\n'"
1713843840.506641,b'\x1b[0m\r\n'
1713843840.512195,"b'\x1b[0;32mI (2009905) mpu6050 test: acce_x:0.45, acce_y:-0.22, acce_z:-0.88\r\n'"
1713843840.512236,b'\x1b[0m\r\n'
1713843840.523116,"b'\x1b[0;32mI (2009915) mpu6050 test: gyro_x:-3.74, gyro_y:8.17, gyro_z:-4.47\r\n'"
1713843840.5231638,b'\x1b[0m\r\n'
1713843840.52865,"b'\x1b[0;32mI (2009925) mpu6050 test: acce_x:0.44, acce_y:-0.22, acce_z:-0.88\r\n'"
1713843840.5286882,b'\x1b[0m\r\n'
1713843840.5344079,"b'\x1b[0;32mI (2009925) mpu6050 test: gyro_x:-3.34, gyro_y:9.19, gyro_z:-5.10\r\n'"
1713843840.5344472,b'\x1b[0m\r\n'
1713843840.539906,"b'\x1b[0;32mI (2009935) mpu6050 test: acce_x:0.44, acce_y:-0.22, acce_z:-0.89\r\n'"
1713843840.539938,b'\x1b[0m\r\n'
1713843840.550923,"b'\x1b[0;32mI (2009945) mpu6050 test: gyro_x:-2.79, gyro_y:10.31, gyro_z:-5.53\r\n'"
1713843840.5509539,b'\x1b[0m\r\n'
1713843840.556463,"b'\x1b[0;32mI (2009945) mpu6050 test: acce_x:0.44, acce_y:-0.23, acce_z:-0.89\r\n'"
1713843840.556491,b'\x1b[0m\r\n'
1713843840.5619478,"b'\x1b[0;32mI (2009955) mpu6050 test: gyro_x:-2.58, gyro_y:11.73, gyro_z:-6.34\r\n'"
1713843840.561973,b'\x1b[0m\r\n'
1713843840.567811,"b'\x1b[0;32mI (2009965) mpu6050 test: acce_x:0.43, acce_y:-0.23, acce_z:-0.89\r\n'"
1713843840.567843,b'\x1b[0m\r\n'
1713843840.578506,"b'\x1b[0;32mI (2009965) mpu6050 test: gyro_x:-3.30, gyro_y:13.42, gyro_z:-7.05\r\n'"
1713843840.578537,b'\x1b[0m\r\n'
1713843840.5843048,"b'\x1b[0;32mI (2009975) mpu6050 test: acce_x:0.42, acce_y:-0.23, acce_z:-0.89\r\n'"
1713843840.584331,b'\x1b[0m\r\n'
1713843840.589827,"b'\x1b[0;32mI (2009985) mpu6050 test: gyro_x:-3.40, gyro_y:15.53, gyro_z:-7.77\r\n'"
1713843840.5898502,b'\x1b[0m\r\n'
1713843840.5953019,"b'\x1b[0;32mI (2009995) mpu6050 test: acce_x:0.41, acce_y:-0.23, acce_z:-0.88\r\n'"
1713843840.595326,b'\x1b[0m\r\n'
1713843840.6063612,"b'\x1b[0;32mI (2009995) mpu6050 test: gyro_x:-3.71, gyro_y:18.84, gyro_z:-9.15\r\n'"
1713843840.606385,b'\x1b[0m\r\n'
1713843840.611904,"b'\x1b[0;32mI (2010005) mpu6050 test: acce_x:0.40, acce_y:-0.23, acce_z:-0.88\r\n'"
1713843840.611934,b'\x1b[0m\r\n'
1713843840.6176891,"b'\x1b[0;32mI (2010015) mpu6050 test: gyro_x:-3.69, gyro_y:22.63, gyro_z:-10.89\r\n'"
1713843840.617713,b'\x1b[0m\r\n'
1713843840.623167,"b'\x1b[0;32mI (2010015) mpu6050 test: acce_x:0.39, acce_y:-0.22, acce_z:-0.87\r\n'"
1713843840.6231942,b'\x1b[0m\r\n'
1713843840.634232,"b'\x1b[0;32mI (2010025) mpu6050 test: gyro_x:-3.66, gyro_y:27.33, gyro_z:-12.50\r\n'"
1713843840.6342552,b'\x1b[0m\r\n'
1713843840.639755,"b'\x1b[0;32mI (2010035) mpu6050 test: acce_x:0.39, acce_y:-0.22, acce_z:-0.87\r\n'"
1713843840.6397781,b'\x1b[0m\r\n'
