time,measure
1713843871.375815,"b'st: gyro_x:-2.02, gyro_y:5.25, gyro_z:-2.41\r\n'"
1713843871.3773959,b'\x1b[0m\r\n'
1713843871.380736,"b'\x1b[0;32mI (2040775) mpu6050 test: acce_x:0.56, acce_y:-0.22, acce_z:-0.84\r\n'"
1713843871.386007,b'\x1b[0m\r\n'
1713843871.391828,"b'\x1b[0;32mI (2040785) mpu6050 test: gyro_x:-1.83, gyro_y:5.27, gyro_z:-2.27\r\n'"
1713843871.391859,b'\x1b[0m\r\n'
1713843871.3972852,"b'\x1b[0;32mI (2040795) mpu6050 test: acce_x:0.57, acce_y:-0.22, acce_z:-0.86\r\n'"
1713843871.397321,b'\x1b[0m\r\n'
1713843871.402789,"b'\x1b[0;32mI (2040795) mpu6050 test: gyro_x:-2.00, gyro_y:4.58, gyro_z:-1.98\r\n'"
1713843871.4028218,b'\x1b[0m\r\n'
1713843871.408643,"b'\x1b[0;32mI (2040805) mpu6050 test: acce_x:0.57, acce_y:-0.22, acce_z:-0.85\r\n'"
1713843871.413824,b'\x1b[0m\r\n'
1713843871.4200718,"b'\x1b[0;32mI (2040815) mpu6050 test: gyro_x:-1.63, gyro_y:3.69, gyro_z:-1.60\r\n'"
1713843871.420108,b'\x1b[0m\r\n'
1713843871.42525,"b'\x1b[0;32mI (2040815) mpu6050 test: acce_x:0.58, acce_y:-0.22, acce_z:-0.84\r\n'"
1713843871.425281,b'\x1b[0m\r\n'
1713843871.4310982,"b'\x1b[0;32mI (2040825) mpu6050 test: gyro_x:-1.02, gyro_y:2.81, gyro_z:-1.42\r\n'"
1713843871.431129,b'\x1b[0m\r\n'
1713843871.436325,"b'\x1b[0;32mI (2040835) mpu6050 test: acce_x:0.57, acce_y:-0.22, acce_z:-0.84\r\n'"
1713843871.441855,b'\x1b[0m\r\n'
1713843871.447304,"b'\x1b[0;32mI (2040835) mpu6050 test: gyro_x:-0.66, gyro_y:2.05, gyro_z:-1.30\r\n'"
1713843871.447341,b'\x1b[0m\r\n'
1713843871.452836,"b'\x1b[0;32mI (2040845) mpu6050 test: acce_x:0.57, acce_y:-0.22, acce_z:-0.84\r\n'"
1713843871.452873,b'\x1b[0m\r\n'
1713843871.458624,"b'\x1b[0;32mI (2040855) mpu6050 test: gyro_x:-0.14, gyro_y:1.60, gyro_z:-0.95\r\n'"
1713843871.458661,b'\x1b[0m\r\n'
1713843871.464187,"b'\x1b[0;32mI (2040865) mpu6050 test: acce_x:0.57, acce_y:-0.22, acce_z:-0.83\r\n'"
1713843871.469328,b'\x1b[0m\r\n'
