time,measure
1713843383.939038,"b'y:-3.39, gyro_z:1.21\r\n'"
1713843383.9402208,b'\x1b[0m\r\n'
1713843383.94396,"b'\x1b[0;32mI (1553335) mpu6050 test: acce_x:0.32, acce_y:-0.25, acce_z:-0.93\r\n'"
1713843383.944011,b'\x1b[0m\r\n'
1713843383.9495301,"b'\x1b[0;32mI (1553345) mpu6050 test: gyro_x:-2.60, gyro_y:-2.40, gyro_z:0.95\r\n'"
1713843383.9495602,b'\x1b[0m\r\n'
1713843383.9604301,"b'\x1b[0;32mI (1553355) mpu6050 test: acce_x:0.33, acce_y:-0.25, acce_z:-0.93\r\n'"
1713843383.9604611,b'\x1b[0m\r\n'
1713843383.9659488,"b'\x1b[0;32mI (1553355) mpu6050 test: gyro_x:-2.43, gyro_y:-2.14, gyro_z:0.84\r\n'"
1713843383.965987,b'\x1b[0m\r\n'
1713843383.9717782,"b'\x1b[0;32mI (1553365) mpu6050 test: acce_x:0.33, acce_y:-0.25, acce_z:-0.93\r\n'"
1713843383.9718158,b'\x1b[0m\r\n'
1713843383.9772549,"b'\x1b[0;32mI (1553375) mpu6050 test: gyro_x:-2.38, gyro_y:-1.71, gyro_z:0.69\r\n'"
1713843383.977288,b'\x1b[0m\r\n'
1713843383.988296,"b'\x1b[0;32mI (1553375) mpu6050 test: acce_x:0.33, acce_y:-0.25, acce_z:-0.93\r\n'"
1713843383.988328,b'\x1b[0m\r\n'
1713843383.993872,"b'\x1b[0;32mI (1553385) mpu6050 test: gyro_x:-2.20, gyro_y:-1.24, gyro_z:0.52\r\n'"
1713843383.993906,b'\x1b[0m\r\n'
1713843383.999369,"b'\x1b[0;32mI (1553395) mpu6050 test: acce_x:0.33, acce_y:-0.25, acce_z:-0.92\r\n'"
1713843383.99941,b'\x1b[0m\r\n'
1713843384.0051892,"b'\x1b[0;32mI (1553405) mpu6050 test: gyro_x:-1.92, gyro_y:-1.27, gyro_z:0.23\r\n'"
1713843384.005227,b'\x1b[0m\r\n'
1713843384.01591,"b'\x1b[0;32mI (1553405) mpu6050 test: acce_x:0.33, acce_y:-0.25, acce_z:-0.93\r\n'"
1713843384.015944,b'\x1b[0m\r\n'
1713843384.021792,"b'\x1b[0;32mI (1553415) mpu6050 test: gyro_x:-1.71, gyro_y:-1.07, gyro_z:0.23\r\n'"
1713843384.021825,b'\x1b[0m\r\n'
1713843384.027342,"b'\x1b[0;32mI (1553425) mpu6050 test: acce_x:0.33, acce_y:-0.25, acce_z:-0.94\r\n'"
1713843384.02738,b'\x1b[0m\r\n'
1713843384.032814,"b'\x1b[0;32mI (1553425) mpu6050 test: gyro_x:-1.62, gyro_y:-0.79, gyro_z:0.02\r\n'"
1713843384.032852,b'\x1b[0m\r\n'
1713843384.043741,"b'\x1b[0;32mI (1553435) mpu6050 test: acce_x:0.33, acce_y:-0.26, acce_z:-0.93\r\n'"
1713843384.04377,b'\x1b[0m\r\n'
1713843384.049267,"b'\x1b[0;32mI (1553445) mpu6050 test: gyro_x:-1.62, gyro_y:-0.78, gyro_z:0.03\r\n'"
1713843384.0492952,b'\x1b[0m\r\n'
1713843384.0550148,"b'\x1b[0;32mI (1553445) mpu6050 test: acce_x:0.33, acce_y:-0.25, acce_z:-0.92\r\n'"
1713843384.05504,b'\x1b[0m\r\n'
1713843384.060549,"b'\x1b[0;32mI (1553455) mpu6050 test: gyro_x:-1.63, gyro_y:-0.41, gyro_z:-0.29\r\n'"
1713843384.060575,b'\x1b[0m\r\n'
1713843384.071597,"b'\x1b[0;32mI (1553465) mpu6050 test: acce_x:0.32, acce_y:-0.26, acce_z:-0.93\r\n'"
1713843384.0716212,b'\x1b[0m\r\n'
1713843384.0771961,"b'\x1b[0;32mI (1553465) mpu6050 test: gyro_x:-1.98, gyro_y:-0.44, gyro_z:-0.41\r\n'"
1713843384.077219,b'\x1b[0m\r\n'
1713843384.082645,"b'\x1b[0;32mI (1553475) mpu6050 test: acce_x:0.32, acce_y:-0.25, acce_z:-0.92\r\n'"
1713843384.082668,b'\x1b[0m\r\n'
1713843384.088396,"b'\x1b[0;32mI (1553485) mpu6050 test: gyro_x:-1.85, gyro_y:0.27, gyro_z:-0.72\r\n'"
1713843384.088418,b'\x1b[0m\r\n'
1713843384.099217,"b'\x1b[0;32mI (1553495) mpu6050 test: acce_x:0.32, acce_y:-0.25, acce_z:-0.93\r\n'"
1713843384.099241,b'\x1b[0m\r\n'
1713843384.104976,"b'\x1b[0;32mI (1553495) mpu6050 test: gyro_x:-1.82, gyro_y:0.00, gyro_z:-0.98\r\n'"
1713843384.1049988,b'\x1b[0m\r\n'
1713843384.1104808,"b'\x1b[0;32mI (1553505) mpu6050 test: acce_x:0.32, acce_y:-0.25, acce_z:-0.94\r\n'"
1713843384.110504,b'\x1b[0m\r\n'
1713843384.116,"b'\x1b[0;32mI (1553515) mpu6050 test: gyro_x:-1.47, gyro_y:0.67, gyro_z:-1.39\r\n'"
1713843384.116023,b'\x1b[0m\r\n'
1713843384.127062,"b'\x1b[0;32mI (1553515) mpu6050 test: acce_x:0.32, acce_y:-0.26, acce_z:-0.94\r\n'"
1713843384.127084,b'\x1b[0m\r\n'
1713843384.132616,"b'\x1b[0;32mI (1553525) mpu6050 test: gyro_x:-2.29, gyro_y:1.11, gyro_z:-1.30\r\n'"
1713843384.13264,b'\x1b[0m\r\n'
1713843384.138423,"b'\x1b[0;32mI (1553535) mpu6050 test: acce_x:0.32, acce_y:-0.26, acce_z:-0.93\r\n'"
1713843384.138447,b'\x1b[0m\r\n'
1713843384.143924,"b'\x1b[0;32mI (1553535) mpu6050 test: gyro_x:-2.87, gyro_y:1.44, gyro_z:-1.24\r\n'"
1713843384.1439512,b'\x1b[0m\r\n'
