time,measure
1713843709.91346,"b'0.27, acce_z:-0.88\r\n'"
1713843709.915045,b'\x1b[0m\r\n'
1713843709.918417,"b'\x1b[0;32mI (1879315) mpu6050 test: gyro_x:-1.57, gyro_y:-7.76, gyro_z:3.51\r\n'"
1713843709.918476,b'\x1b[0m\r\n'
1713843709.923893,"b'\x1b[0;32mI (1879315) mpu6050 test: acce_x:0.42, acce_y:-0.27, acce_z:-0.87\r\n'"
1713843709.923924,b'\x1b[0m\r\n'
1713843709.9348512,"b'\x1b[0;32mI (1879325) mpu6050 test: gyro_x:-1.53, gyro_y:-6.82, gyro_z:2.93\r\n'"
1713843709.934926,b'\x1b[0m\r\n'
1713843709.940345,"b'\x1b[0;32mI (1879335) mpu6050 test: acce_x:0.42, acce_y:-0.27, acce_z:-0.87\r\n'"
1713843709.940379,b'\x1b[0m\r\n'
1713843709.946133,"b'\x1b[0;32mI (1879335) mpu6050 test: gyro_x:-1.44, gyro_y:-5.56, gyro_z:2.44\r\n'"
1713843709.946168,b'\x1b[0m\r\n'
1713843709.951679,"b'\x1b[0;32mI (1879345) mpu6050 test: acce_x:0.41, acce_y:-0.27, acce_z:-0.88\r\n'"
1713843709.951712,b'\x1b[0m\r\n'
1713843709.962828,"b'\x1b[0;32mI (1879355) mpu6050 test: gyro_x:-1.60, gyro_y:-4.41, gyro_z:1.88\r\n'"
1713843709.962868,b'\x1b[0m\r\n'
1713843709.9682298,"b'\x1b[0;32mI (1879365) mpu6050 test: acce_x:0.42, acce_y:-0.27, acce_z:-0.87\r\n'"
1713843709.968269,b'\x1b[0m\r\n'
1713843709.973788,"b'\x1b[0;32mI (1879365) mpu6050 test: gyro_x:-1.31, gyro_y:-3.08, gyro_z:1.59\r\n'"
1713843709.973832,b'\x1b[0m\r\n'
1713843709.97957,"b'\x1b[0;32mI (1879375) mpu6050 test: acce_x:0.42, acce_y:-0.27, acce_z:-0.87\r\n'"
1713843709.9796102,b'\x1b[0m\r\n'
1713843709.9903948,"b'\x1b[0;32mI (1879385) mpu6050 test: gyro_x:-1.05, gyro_y:-1.79, gyro_z:1.16\r\n'"
1713843709.990434,b'\x1b[0m\r\n'
1713843709.996171,"b'\x1b[0;32mI (1879385) mpu6050 test: acce_x:0.43, acce_y:-0.27, acce_z:-0.88\r\n'"
1713843709.9962099,b'\x1b[0m\r\n'
1713843710.0017128,"b'\x1b[0;32mI (1879395) mpu6050 test: gyro_x:-0.98, gyro_y:-0.26, gyro_z:1.16\r\n'"
1713843710.00175,b'\x1b[0m\r\n'
1713843710.007203,"b'\x1b[0;32mI (1879405) mpu6050 test: acce_x:0.43, acce_y:-0.26, acce_z:-0.87\r\n'"
1713843710.0072389,b'\x1b[0m\r\n'
1713843710.018186,"b'\x1b[0;32mI (1879405) mpu6050 test: gyro_x:-0.55, gyro_y:0.26, gyro_z:0.85\r\n'"
1713843710.018216,b'\x1b[0m\r\n'
1713843710.023678,"b'\x1b[0;32mI (1879415) mpu6050 test: acce_x:0.44, acce_y:-0.27, acce_z:-0.87\r\n'"
1713843710.0237079,b'\x1b[0m\r\n'
1713843710.0294578,"b'\x1b[0;32mI (1879425) mpu6050 test: gyro_x:-0.12, gyro_y:0.82, gyro_z:0.69\r\n'"
1713843710.029485,b'\x1b[0m\r\n'
1713843710.034987,"b'\x1b[0;32mI (1879435) mpu6050 test: acce_x:0.44, acce_y:-0.26, acce_z:-0.87\r\n'"
1713843710.035011,b'\x1b[0m\r\n'
1713843710.0404632,"b'\x1b[0;32mI (1879435) mpu6050 test: gyro_x:0.12, gyro_y:1.22, gyro_z:0.67\r\n'"
1713843710.046019,b'\x1b[0m\r\n'
1713843710.051549,"b'\x1b[0;32mI (1879445) mpu6050 test: acce_x:0.45, acce_y:-0.27, acce_z:-0.87\r\n'"
1713843710.051573,b'\x1b[0m\r\n'
1713843710.057062,"b'\x1b[0;32mI (1879455) mpu6050 test: gyro_x:0.38, gyro_y:0.99, gyro_z:0.05\r\n'"
1713843710.0570838,b'\x1b[0m\r\n'
1713843710.062834,"b'\x1b[0;32mI (1879455) mpu6050 test: acce_x:0.46, acce_y:-0.27, acce_z:-0.87\r\n'"
