time,measure
1713846174.833591,"b'4344235) mpu6050 test: gyro_x:3.48, gyro_y:-0.11, gyro_z:-12.00\r\n'"
1713846174.8352299,b'\x1b[0m\r\n'
1713846174.838656,"b'\x1b[0;32mI (4344235) mpu6050 test: acce_x:0.44, acce_y:-0.28, acce_z:-0.88\r\n'"
1713846174.838689,b'\x1b[0m\r\n'
1713846174.8443,"b'\x1b[0;32mI (4344245) mpu6050 test: gyro_x:3.60, gyro_y:-0.02, gyro_z:-11.57\r\n'"
1713846174.844331,b'\x1b[0m\r\n'
1713846174.849836,"b'\x1b[0;32mI (4344255) mpu6050 test: acce_x:0.44, acce_y:-0.28, acce_z:-0.88\r\n'"
1713846174.849868,b'\x1b[0m\r\n'
1713846174.860812,"b'\x1b[0;32mI (4344255) mpu6050 test: gyro_x:2.98, gyro_y:-0.08, gyro_z:-11.57\r\n'"
1713846174.860852,b'\x1b[0m\r\n'
1713846174.866387,"b'\x1b[0;32mI (4344265) mpu6050 test: acce_x:0.44, acce_y:-0.28, acce_z:-0.88\r\n'"
1713846174.866417,b'\x1b[0m\r\n'
1713846174.871902,"b'\x1b[0;32mI (4344275) mpu6050 test: gyro_x:2.63, gyro_y:-0.09, gyro_z:-11.57\r\n'"
1713846174.871936,b'\x1b[0m\r\n'
1713846174.877645,"b'\x1b[0;32mI (4344285) mpu6050 test: acce_x:0.45, acce_y:-0.28, acce_z:-0.88\r\n'"
1713846174.877672,b'\x1b[0m\r\n'
1713846174.888435,"b'\x1b[0;32mI (4344285) mpu6050 test: gyro_x:2.78, gyro_y:-0.11, gyro_z:-11.71\r\n'"
1713846174.888469,b'\x1b[0m\r\n'
1713846174.89424,"b'\x1b[0;32mI (4344295) mpu6050 test: acce_x:0.45, acce_y:-0.28, acce_z:-0.88\r\n'"
1713846174.894269,b'\x1b[0m\r\n'
1713846174.899799,"b'\x1b[0;32mI (4344305) mpu6050 test: gyro_x:3.19, gyro_y:-0.31, gyro_z:-11.11\r\n'"
1713846174.8998358,b'\x1b[0m\r\n'
1713846174.905321,"b'\x1b[0;32mI (4344305) mpu6050 test: acce_x:0.44, acce_y:-0.28, acce_z:-0.87\r\n'"
1713846174.905356,b'\x1b[0m\r\n'
1713846174.916318,"b'\x1b[0;32mI (4344315) mpu6050 test: gyro_x:3.25, gyro_y:-0.17, gyro_z:-10.52\r\n'"
1713846174.916358,b'\x1b[0m\r\n'
1713846174.92191,"b'\x1b[0;32mI (4344325) mpu6050 test: acce_x:0.45, acce_y:-0.27, acce_z:-0.88\r\n'"
1713846174.9219499,b'\x1b[0m\r\n'
1713846174.9276211,"b'\x1b[0;32mI (4344325) mpu6050 test: gyro_x:3.80, gyro_y:0.34, gyro_z:-11.05\r\n'"
