time,measure
1713843395.824945,"b';32mI (1565215) mpu6050 test: gyro_x:-1.07, gyro_y:-9.94, gyro_z:1.68\r\n'"
1713843395.826708,b'\x1b[0m\r\n'
1713843395.830011,"b'\x1b[0;32mI (1565225) mpu6050 test: acce_x:0.39, acce_y:-0.23, acce_z:-0.91\r\n'"
1713843395.830048,b'\x1b[0m\r\n'
1713843395.8357608,"b'\x1b[0;32mI (1565225) mpu6050 test: gyro_x:-1.28, gyro_y:-10.29, gyro_z:2.40\r\n'"
1713843395.8358452,b'\x1b[0m\r\n'
1713843395.84127,"b'\x1b[0;32mI (1565235) mpu6050 test: acce_x:0.39, acce_y:-0.23, acce_z:-0.92\r\n'"
1713843395.8413062,b'\x1b[0m\r\n'
1713843395.852243,"b'\x1b[0;32mI (1565245) mpu6050 test: gyro_x:-1.44, gyro_y:-10.87, gyro_z:2.72\r\n'"
1713843395.852294,b'\x1b[0m\r\n'
1713843395.8577778,"b'\x1b[0;32mI (1565255) mpu6050 test: acce_x:0.39, acce_y:-0.23, acce_z:-0.91\r\n'"
1713843395.8578181,b'\x1b[0m\r\n'
1713843395.863343,"b'\x1b[0;32mI (1565255) mpu6050 test: gyro_x:-0.67, gyro_y:-11.62, gyro_z:3.53\r\n'"
1713843395.86338,b'\x1b[0m\r\n'
1713843395.8693068,"b'\x1b[0;32mI (1565265) mpu6050 test: acce_x:0.37, acce_y:-0.23, acce_z:-0.91\r\n'"
1713843395.869348,b'\x1b[0m\r\n'
1713843395.879887,"b'\x1b[0;32mI (1565275) mpu6050 test: gyro_x:-1.47, gyro_y:-11.27, gyro_z:3.42\r\n'"
1713843395.879928,b'\x1b[0m\r\n'
1713843395.885706,"b'\x1b[0;32mI (1565275) mpu6050 test: acce_x:0.37, acce_y:-0.23, acce_z:-0.92\r\n'"
1713843395.8857548,b'\x1b[0m\r\n'
1713843395.891333,"b'\x1b[0;32mI (1565285) mpu6050 test: gyro_x:-1.10, gyro_y:-10.69, gyro_z:4.05\r\n'"
1713843395.89138,b'\x1b[0m\r\n'
1713843395.8969312,"b'\x1b[0;32mI (1565295) mpu6050 test: acce_x:0.36, acce_y:-0.23, acce_z:-0.92\r\n'"
