time,measure
1713843812.948355,b' acce_z:-0.90\r\n'
1713843812.950059,b'\x1b[0m\r\n'
1713843812.953443,"b'\x1b[0;32mI (1982345) mpu6050 test: gyro_x:-3.57, gyro_y:3.37, gyro_z:1.48\r\n'"
1713843812.9534972,b'\x1b[0m\r\n'
1713843812.958876,"b'\x1b[0;32mI (1982355) mpu6050 test: acce_x:0.42, acce_y:-0.24, acce_z:-0.90\r\n'"
1713843812.95891,b'\x1b[0m\r\n'
1713843812.964714,"b'\x1b[0;32mI (1982365) mpu6050 test: gyro_x:-3.42, gyro_y:3.37, gyro_z:1.79\r\n'"
1713843812.9699142,b'\x1b[0m\r\n'
1713843812.975418,"b'\x1b[0;32mI (1982365) mpu6050 test: acce_x:0.42, acce_y:-0.24, acce_z:-0.88\r\n'"
1713843812.975455,b'\x1b[0m\r\n'
1713843812.981159,"b'\x1b[0;32mI (1982375) mpu6050 test: gyro_x:-2.79, gyro_y:2.98, gyro_z:2.06\r\n'"
1713843812.981196,b'\x1b[0m\r\n'
1713843812.9868429,"b'\x1b[0;32mI (1982385) mpu6050 test: acce_x:0.43, acce_y:-0.23, acce_z:-0.89\r\n'"
1713843812.98688,b'\x1b[0m\r\n'
1713843812.9923332,"b'\x1b[0;32mI (1982385) mpu6050 test: gyro_x:-2.26, gyro_y:3.15, gyro_z:1.71\r\n'"
1713843812.997777,b'\x1b[0m\r\n'
1713843813.003188,"b'\x1b[0;32mI (1982395) mpu6050 test: acce_x:0.43, acce_y:-0.24, acce_z:-0.90\r\n'"
1713843813.0032299,b'\x1b[0m\r\n'
1713843813.008797,"b'\x1b[0;32mI (1982405) mpu6050 test: gyro_x:-1.85, gyro_y:3.10, gyro_z:1.25\r\n'"
1713843813.008839,b'\x1b[0m\r\n'
1713843813.0145411,"b'\x1b[0;32mI (1982405) mpu6050 test: acce_x:0.43, acce_y:-0.24, acce_z:-0.89\r\n'"
1713843813.014606,b'\x1b[0m\r\n'
1713843813.020111,"b'\x1b[0;32mI (1982415) mpu6050 test: gyro_x:-1.56, gyro_y:3.24, gyro_z:0.64\r\n'"
1713843813.0201669,b'\x1b[0m\r\n'
1713843813.0313978,"b'\x1b[0;32mI (1982425) mpu6050 test: acce_x:0.43, acce_y:-0.24, acce_z:-0.90\r\n'"
1713843813.0314398,b'\x1b[0m\r\n'
1713843813.036525,"b'\x1b[0;32mI (1982425) mpu6050 test: gyro_x:-0.87, gyro_y:3.13, gyro_z:0.15\r\n'"
1713843813.036567,b'\x1b[0m\r\n'
1713843813.042114,"b'\x1b[0;32mI (1982435) mpu6050 test: acce_x:0.43, acce_y:-0.24, acce_z:-0.90\r\n'"
1713843813.042154,b'\x1b[0m\r\n'
