time,measure
1713843627.716026,"b'1797115) mpu6050 test: acce_x:0.31, acce_y:-0.26, acce_z:-0.92\r\n'"
1713843627.720763,b'\x1b[0m\r\n'
1713843627.726312,"b'\x1b[0;32mI (1797115) mpu6050 test: gyro_x:-2.27, gyro_y:-4.76, gyro_z:-0.31\r\n'"
1713843627.726343,b'\x1b[0m\r\n'
1713843627.732152,"b'\x1b[0;32mI (1797125) mpu6050 test: acce_x:0.31, acce_y:-0.25, acce_z:-0.93\r\n'"
1713843627.732181,b'\x1b[0m\r\n'
1713843627.737652,"b'\x1b[0;32mI (1797135) mpu6050 test: gyro_x:-2.12, gyro_y:-4.29, gyro_z:0.21\r\n'"
1713843627.73768,b'\x1b[0m\r\n'
1713843627.748631,"b'\x1b[0;32mI (1797135) mpu6050 test: acce_x:0.31, acce_y:-0.25, acce_z:-0.93\r\n'"
1713843627.748665,b'\x1b[0m\r\n'
1713843627.754132,"b'\x1b[0;32mI (1797145) mpu6050 test: gyro_x:-2.11, gyro_y:-3.57, gyro_z:0.75\r\n'"
1713843627.754167,b'\x1b[0m\r\n'
1713843627.759864,"b'\x1b[0;32mI (1797155) mpu6050 test: acce_x:0.31, acce_y:-0.26, acce_z:-0.93\r\n'"
1713843627.7598982,b'\x1b[0m\r\n'
1713843627.765524,"b'\x1b[0;32mI (1797165) mpu6050 test: gyro_x:-2.27, gyro_y:-3.07, gyro_z:1.10\r\n'"
1713843627.765557,b'\x1b[0m\r\n'
1713843627.7763178,"b'\x1b[0;32mI (1797165) mpu6050 test: acce_x:0.31, acce_y:-0.26, acce_z:-0.94\r\n'"
1713843627.776364,b'\x1b[0m\r\n'
1713843627.7820852,"b'\x1b[0;32mI (1797175) mpu6050 test: gyro_x:-2.14, gyro_y:-2.21, gyro_z:1.54\r\n'"
1713843627.782122,b'\x1b[0m\r\n'
1713843627.787607,"b'\x1b[0;32mI (1797185) mpu6050 test: acce_x:0.30, acce_y:-0.25, acce_z:-0.93\r\n'"
1713843627.787649,b'\x1b[0m\r\n'
1713843627.793211,"b'\x1b[0;32mI (1797185) mpu6050 test: gyro_x:-1.83, gyro_y:-1.18, gyro_z:1.68\r\n'"
1713843627.793248,b'\x1b[0m\r\n'
1713843627.804064,"b'\x1b[0;32mI (1797195) mpu6050 test: acce_x:0.31, acce_y:-0.26, acce_z:-0.92\r\n'"
1713843627.80411,b'\x1b[0m\r\n'
1713843627.809598,"b'\x1b[0;32mI (1797205) mpu6050 test: gyro_x:-1.50, gyro_y:-0.47, gyro_z:1.68\r\n'"
1713843627.8096378,b'\x1b[0m\r\n'
1713843627.815521,"b'\x1b[0;32mI (1797205) mpu6050 test: acce_x:0.31, acce_y:-0.25, acce_z:-0.92\r\n'"
1713843627.815566,b'\x1b[0m\r\n'
1713843627.820992,"b'\x1b[0;32mI (1797215) mpu6050 test: gyro_x:-1.05, gyro_y:0.06, gyro_z:1.88\r\n'"
1713843627.8210292,b'\x1b[0m\r\n'
1713843627.826528,"b'\x1b[0;32mI (1797225) mpu6050 test: acce_x:0.31, acce_y:-0.26, acce_z:-0.94\r\n'"
1713843627.833568,b'\x1b[0m\r\n'
1713843627.8376372,"b'\x1b[0;32mI (1797225) mpu6050 test: gyro_x:-1.21, gyro_y:0.52, gyro_z:1.68\r\n'"
1713843627.837666,b'\x1b[0m\r\n'
1713843627.8432431,"b'\x1b[0;32mI (1797235) mpu6050 test: acce_x:0.31, acce_y:-0.26, acce_z:-0.92\r\n'"
1713843627.843276,b'\x1b[0m\r\n'
1713843627.848724,"b'\x1b[0;32mI (1797245) mpu6050 test: gyro_x:-1.37, gyro_y:1.18, gyro_z:1.79\r\n'"
1713843627.848748,b'\x1b[0m\r\n'
1713843627.854243,"b'\x1b[0;32mI (1797255) mpu6050 test: acce_x:0.31, acce_y:-0.26, acce_z:-0.92\r\n'"
1713843627.859617,b'\x1b[0m\r\n'
1713843627.86532,"b'\x1b[0;32mI (1797255) mpu6050 test: gyro_x:-1.50, gyro_y:1.65, gyro_z:1.25\r\n'"
1713843627.865346,b'\x1b[0m\r\n'
