time,measure
1713845899.490578,"b', gyro_y:-4.09, gyro_z:-15.68\r\n'"
1713845899.492214,b'\x1b[0m\r\n'
1713845899.495392,"b'\x1b[0;32mI (4068895) mpu6050 test: acce_x:0.42, acce_y:-0.21, acce_z:-0.90\r\n'"
1713845899.495448,b'\x1b[0m\r\n'
1713845899.500939,"b'\x1b[0;32mI (4068905) mpu6050 test: gyro_x:7.51, gyro_y:-4.44, gyro_z:-18.53\r\n'"
1713845899.5064409,b'\x1b[0m\r\n'
1713845899.512007,"b'\x1b[0;32mI (4068915) mpu6050 test: acce_x:0.43, acce_y:-0.21, acce_z:-0.91\r\n'"
1713845899.512039,b'\x1b[0m\r\n'
1713845899.51749,"b'\x1b[0;32mI (4068915) mpu6050 test: gyro_x:8.69, gyro_y:-5.65, gyro_z:-22.75\r\n'"
1713845899.51752,b'\x1b[0m\r\n'
1713845899.523255,"b'\x1b[0;32mI (4068925) mpu6050 test: acce_x:0.43, acce_y:-0.21, acce_z:-0.91\r\n'"
1713845899.523286,b'\x1b[0m\r\n'
1713845899.534183,"b'\x1b[0;32mI (4068935) mpu6050 test: gyro_x:9.97, gyro_y:-6.37, gyro_z:-27.01\r\n'"
1713845899.5342221,b'\x1b[0m\r\n'
1713845899.539822,"b'\x1b[0;32mI (4068935) mpu6050 test: acce_x:0.44, acce_y:-0.22, acce_z:-0.89\r\n'"
1713845899.539857,b'\x1b[0m\r\n'
1713845899.54545,"b'\x1b[0;32mI (4068945) mpu6050 test: gyro_x:10.96, gyro_y:-6.58, gyro_z:-31.07\r\n'"
1713845899.545484,b'\x1b[0m\r\n'
1713845899.551046,"b'\x1b[0;32mI (4068955) mpu6050 test: acce_x:0.43, acce_y:-0.22, acce_z:-0.90\r\n'"
1713845899.551084,b'\x1b[0m\r\n'
1713845899.562041,"b'\x1b[0;32mI (4068965) mpu6050 test: gyro_x:11.51, gyro_y:-7.05, gyro_z:-34.93\r\n'"
1713845899.5620842,b'\x1b[0m\r\n'
1713845899.5675552,"b'\x1b[0;32mI (4068965) mpu6050 test: acce_x:0.43, acce_y:-0.21, acce_z:-0.90\r\n'"
1713845899.5675929,b'\x1b[0m\r\n'
1713845899.5733771,"b'\x1b[0;32mI (4068975) mpu6050 test: gyro_x:11.86, gyro_y:-7.25, gyro_z:-38.21\r\n'"
1713845899.573419,b'\x1b[0m\r\n'
1713845899.578944,"b'\x1b[0;32mI (4068985) mpu6050 test: acce_x:0.43, acce_y:-0.21, acce_z:-0.90\r\n'"
1713845899.578986,b'\x1b[0m\r\n'
1713845899.589855,"b'\x1b[0;32mI (4068985) mpu6050 test: gyro_x:12.69, gyro_y:-7.77, gyro_z:-41.11\r\n'"
1713845899.5899048,b'\x1b[0m\r\n'
1713845899.595396,"b'\x1b[0;32mI (4068995) mpu6050 test: acce_x:0.43, acce_y:-0.21, acce_z:-0.90\r\n'"
1713845899.5954309,b'\x1b[0m\r\n'
1713845899.600875,"b'\x1b[0;32mI (4069005) mpu6050 test: gyro_x:13.85, gyro_y:-8.67, gyro_z:-43.57\r\n'"
1713845899.600906,b'\x1b[0m\r\n'
1713845899.606642,"b'\x1b[0;32mI (4069005) mpu6050 test: acce_x:0.43, acce_y:-0.21, acce_z:-0.90\r\n'"
1713845899.6119192,b'\x1b[0m\r\n'
1713845899.617362,"b'\x1b[0;32mI (4069015) mpu6050 test: gyro_x:14.82, gyro_y:-9.15, gyro_z:-45.27\r\n'"
1713845899.617388,b'\x1b[0m\r\n'
1713845899.6231868,"b'\x1b[0;32mI (4069025) mpu6050 test: acce_x:0.43, acce_y:-0.22, acce_z:-0.90\r\n'"
1713845899.6232152,b'\x1b[0m\r\n'
1713845899.628775,"b'\x1b[0;32mI (4069035) mpu6050 test: gyro_x:14.96, gyro_y:-9.59, gyro_z:-46.55\r\n'"
1713845899.628799,b'\x1b[0m\r\n'
1713845899.6359098,"b'\x1b[0;32mI (4069035) mpu6050 test: acce_x:0.43, acce_y:-0.22, acce_z:-0.90\r\n'"
1713845899.640285,b'\x1b[0m\r\n'
1713845899.645301,"b'\x1b[0;32mI (4069045) mpu6050 test: gyro_x:14.41, gyro_y:-9.40, gyro_z:-46.60\r\n'"
1713845899.645325,b'\x1b[0m\r\n'
1713845899.650802,"b'\x1b[0;32mI (4069055) mpu6050 test: acce_x:0.43, acce_y:-0.22, acce_z:-0.90\r\n'"
1713845899.650826,b'\x1b[0m\r\n'
1713845899.656546,"b'\x1b[0;32mI (4069055) mpu6050 test: gyro_x:13.73, gyro_y:-9.37, gyro_z:-46.29\r\n'"
1713845899.6565702,b'\x1b[0m\r\n'
1713845899.66737,"b'\x1b[0;32mI (4069065) mpu6050 test: acce_x:0.42, acce_y:-0.21, acce_z:-0.89\r\n'"
1713845899.667396,b'\x1b[0m\r\n'
1713845899.673134,"b'\x1b[0;32mI (4069075) mpu6050 test: gyro_x:13.42, gyro_y:-9.16, gyro_z:-45.50\r\n'"
1713845899.673158,b'\x1b[0m\r\n'
1713845899.678676,"b'\x1b[0;32mI (4069075) mpu6050 test: acce_x:0.42, acce_y:-0.22, acce_z:-0.91\r\n'"
1713845899.678699,b'\x1b[0m\r\n'
1713845899.684174,"b'\x1b[0;32mI (4069085) mpu6050 test: gyro_x:13.53, gyro_y:-8.87, gyro_z:-44.37\r\n'"
1713845899.684198,b'\x1b[0m\r\n'
1713845899.695266,"b'\x1b[0;32mI (4069095) mpu6050 test: acce_x:0.43, acce_y:-0.22, acce_z:-0.91\r\n'"
1713845899.69529,b'\x1b[0m\r\n'
1713845899.700744,"b'\x1b[0;32mI (4069105) mpu6050 test: gyro_x:13.21, gyro_y:-8.24, gyro_z:-43.13\r\n'"
1713845899.700772,b'\x1b[0m\r\n'
1713845899.706523,"b'\x1b[0;32mI (4069105) mpu6050 test: acce_x:0.42, acce_y:-0.21, acce_z:-0.92\r\n'"
1713845899.7065458,b'\x1b[0m\r\n'
1713845899.7121081,"b'\x1b[0;32mI (4069115) mpu6050 test: gyro_x:12.84, gyro_y:-7.50, gyro_z:-41.76\r\n'"
1713845899.717349,b'\x1b[0m\r\n'
1713845899.723165,"b'\x1b[0;32mI (4069125) mpu6050 test: acce_x:0.44, acce_y:-0.20, acce_z:-0.90\r\n'"
1713845899.7231932,b'\x1b[0m\r\n'
1713845899.728713,"b'\x1b[0;32mI (4069125) mpu6050 test: gyro_x:13.05, gyro_y:-6.82, gyro_z:-40.58\r\n'"
1713845899.728736,b'\x1b[0m\r\n'
1713845899.734248,"b'\x1b[0;32mI (4069135) mpu6050 test: acce_x:0.43, acce_y:-0.21, acce_z:-0.90\r\n'"
1713845899.734278,b'\x1b[0m\r\n'
1713845899.73997,"b'\x1b[0;32mI (4069145) mpu6050 test: gyro_x:13.60, gyro_y:-6.52, gyro_z:-40.14\r\n'"
1713845899.74524,b'\x1b[0m\r\n'
1713845899.750703,"b'\x1b[0;32mI (4069155) mpu6050 test: acce_x:0.44, acce_y:-0.20, acce_z:-0.90\r\n'"
1713845899.750737,b'\x1b[0m\r\n'
1713845899.7566001,"b'\x1b[0;32mI (4069155) mpu6050 test: gyro_x:13.83, gyro_y:-6.41, gyro_z:-39.71\r\n'"
1713845899.756624,b'\x1b[0m\r\n'
1713845899.762167,"b'\x1b[0;32mI (4069165) mpu6050 test: acce_x:0.43, acce_y:-0.21, acce_z:-0.90\r\n'"
