time,measure
1713843613.6506429,"b'6050 test: gyro_x:-1.33, gyro_y:-12.35, gyro_z:2.24\r\n'"
1713843613.652299,b'\x1b[0m\r\n'
1713843613.660776,"b'\x1b[0;32mI (1783055) mpu6050 test: acce_x:0.31, acce_y:-0.23, acce_z:-0.92\r\n'"
1713843613.660813,b'\x1b[0m\r\n'
1713843613.6666062,"b'\x1b[0;32mI (1783055) mpu6050 test: gyro_x:-1.01, gyro_y:-10.53, gyro_z:1.56\r\n'"
1713843613.6666398,b'\x1b[0m\r\n'
1713843613.6720672,"b'\x1b[0;32mI (1783065) mpu6050 test: acce_x:0.32, acce_y:-0.24, acce_z:-0.92\r\n'"
1713843613.672101,b'\x1b[0m\r\n'
1713843613.6777549,"b'\x1b[0;32mI (1783075) mpu6050 test: gyro_x:-1.25, gyro_y:-9.22, gyro_z:1.42\r\n'"
1713843613.677797,b'\x1b[0m\r\n'
1713843613.688587,"b'\x1b[0;32mI (1783075) mpu6050 test: acce_x:0.32, acce_y:-0.23, acce_z:-0.92\r\n'"
1713843613.6886249,b'\x1b[0m\r\n'
1713843613.694239,"b'\x1b[0;32mI (1783085) mpu6050 test: gyro_x:-1.08, gyro_y:-8.09, gyro_z:1.02\r\n'"
1713843613.6942809,b'\x1b[0m\r\n'
1713843613.6999948,"b'\x1b[0;32mI (1783095) mpu6050 test: acce_x:0.32, acce_y:-0.24, acce_z:-0.92\r\n'"
1713843613.700038,b'\x1b[0m\r\n'
1713843613.705538,"b'\x1b[0;32mI (1783105) mpu6050 test: gyro_x:-0.70, gyro_y:-7.07, gyro_z:0.56\r\n'"
1713843613.705586,b'\x1b[0m\r\n'
1713843613.716782,"b'\x1b[0;32mI (1783105) mpu6050 test: acce_x:0.32, acce_y:-0.24, acce_z:-0.91\r\n'"
1713843613.716832,b'\x1b[0m\r\n'
1713843613.7219741,"b'\x1b[0;32mI (1783115) mpu6050 test: gyro_x:-0.29, gyro_y:-5.60, gyro_z:0.40\r\n'"
1713843613.722008,b'\x1b[0m\r\n'
1713843613.7275589,"b'\x1b[0;32mI (1783125) mpu6050 test: acce_x:0.32, acce_y:-0.24, acce_z:-0.91\r\n'"
1713843613.727605,b'\x1b[0m\r\n'
1713843613.733485,"b'\x1b[0;32mI (1783125) mpu6050 test: gyro_x:0.15, gyro_y:-3.83, gyro_z:0.02\r\n'"
1713843613.733525,b'\x1b[0m\r\n'
1713843613.744048,"b'\x1b[0;32mI (1783135) mpu6050 test: acce_x:0.31, acce_y:-0.24, acce_z:-0.92\r\n'"
1713843613.7440891,b'\x1b[0m\r\n'
1713843613.7499368,"b'\x1b[0;32mI (1783145) mpu6050 test: gyro_x:0.72, gyro_y:-2.50, gyro_z:-0.56\r\n'"
1713843613.749973,b'\x1b[0m\r\n'
1713843613.755467,"b'\x1b[0;32mI (1783145) mpu6050 test: acce_x:0.32, acce_y:-0.25, acce_z:-0.92\r\n'"
1713843613.755508,b'\x1b[0m\r\n'
1713843613.761085,"b'\x1b[0;32mI (1783155) mpu6050 test: gyro_x:0.60, gyro_y:-1.24, gyro_z:-1.13\r\n'"
1713843613.761125,b'\x1b[0m\r\n'
